ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	START_MESSAGE	PRIMARY_TARGET_WAVE_1	UTTERANCE_WAVE_1	RADIUS_WAVE_1	GUARDS_SPAWNED_WAVE_1	NUM_GUARDS_WAVE_1	DELAY_WAVE_1	PRIMARY_TARGET_WAVE_2	UTTERANCE_WAVE_2	RADIUS_WAVE_2	GUARDS_SPAWNED_WAVE_2	NUM_GUARDS_WAVE_2	DELAY_WAVE_2	PRIMARY_TARGET_WAVE_3	UTTERANCE_WAVE_3	RADIUS_WAVE_3	GUARDS_SPAWNED_WAVE_3	NUM_GUARDS_WAVE_3	DELAY_WAVE_3	PRIMARY_TARGET_WAVE_4	UTTERANCE_WAVE_4	RADIUS_WAVE_4	GUARDS_SPAWNED_WAVE_4	NUM_GUARDS_WAVE_4	DELAY_WAVE_4	PRIMARY_TARGET_WAVE_5	UTTERANCE_WAVE_5	RADIUS_WAVE_5	GUARDS_SPAWNED_WAVE_5	NUM_GUARDS_WAVE_5	DELAY_WAVE_5	PRIMARY_TARGET_WAVE_6	UTTERANCE_WAVE_6	RADIUS_WAVE_6	GUARDS_SPAWNED_WAVE_6	NUM_GUARDS_WAVE_6	DELAY_WAVE_6	ITEM_TO_GIVE	NUM_TO_GIVE	CREATE_ITEM	DESTROY_ITEM	REMAINING_TIME	FAIL_ON_LOGOUT	TRAVEL_BLOCK	TRAVEL_BLOCK_ALLOW_LAUNCH	TEXT_TYPE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	i	i	i	i	s	i	s	i	i	i	i	s	s	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	i	b	b	i	b	b	b	e(give=0,deliver=1)[give]
quest.task.ground.wait_for_signal	@quest/ground/exar_kun_intro_01:task00_journal_entry_title	@quest/ground/exar_kun_intro_01:task00_journal_entry_description	1			0	1		exar_kun_intro_01_01	1				0	none	none				1		1			0	corellia	0.0	0.0	0.0				0	0.0	0.0	0.0		exar_kun_intro_01_01	0			0		0	0	0	0																																																														
quest.task.ground.go_to_location	@quest/ground/exar_kun_intro_01:task01_journal_entry_title	@quest/ground/exar_kun_intro_01:task01_journal_entry_description	1			0	2		exar_kun_intro_01_02	1				0	none	none				1		1			1	talus	-465	31	4440			@quest/ground/exar_kun_intro_01:task01_waypoint_name	0	0.0	0.0	0.0											0	10.0																																																													
quest.task.ground.show_message_box	@quest/ground/exar_kun_intro_01:task02_journal_entry_title	@quest/ground/exar_kun_intro_01:task02_journal_entry_description	1			0	3		exar_kun_intro_01_03	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													@quest/ground/exar_kun_intro_01:task02_message_box_title	@quest/ground/exar_kun_intro_01:task02_message_box_text		-1	-1	-1	-1																																																						
quest.task.ground.retrieve_item	@quest/ground/exar_kun_intro_01:task03_journal_entry_title	@quest/ground/exar_kun_intro_01:task03_journal_entry_description	1			0	4,13		exar_kun_intro_01_04	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0									object/mobile/dressed_combatmedic_trainer_human_male_01.iff	1	@quest/ground/exar_kun_intro_01:task03_item_name	100	0	0	0	@quest/ground/exar_kun_intro_01:task03_retrieve_menu_text																																														
quest.task.ground.retrieve_item	@quest/ground/exar_kun_intro_01:task04_journal_entry_title	@quest/ground/exar_kun_intro_01:task04_journal_entry_description	1			0	5		exar_kun_intro_01_05	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0									object/tangible/quest/township/exar_kun_intro_corpse_datapad.iff	1	@quest/ground/exar_kun_intro_01:task04_item_name	100	0	0	0	@quest/ground/exar_kun_intro_01:task04_retrieve_menu_text																																														
quest.task.ground.show_message_box	@quest/ground/exar_kun_intro_01:task05_journal_entry_title	@quest/ground/exar_kun_intro_01:task05_journal_entry_description	1			0	6		exar_kun_intro_01_05b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													@quest/ground/exar_kun_intro_01:task05_message_box_title	@quest/ground/exar_kun_intro_01:task05_message_box_text		-1	-1	-1	-1																																																						
quest.task.ground.retrieve_item	@quest/ground/exar_kun_intro_01:task06_journal_entry_title	@quest/ground/exar_kun_intro_01:task06_journal_entry_description	1			0	7		exar_kun_intro_01_06	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0									object/tangible/quest/township/exar_kun_intro_communication_terminal.iff	1	@quest/ground/exar_kun_intro_01:task06_item_name	100	0	0	0	@quest/ground/exar_kun_intro_01:task06_retrieve_menu_text																																														
quest.task.ground.wave_event_player	@quest/ground/exar_kun_intro_01:task07_journal_entry_title	@quest/ground/exar_kun_intro_01:task07_journal_entry_description	1			0	8		exar_kun_intro_01_07	1				0	none	none				1		1			1	talus	-1835	34	6625			@quest/ground/exar_kun_intro_01:task07_waypoint_name	0	0.0	0.0	0.0											0									object/mobile/exar_kun_intro_magnus_grenz.iff							@quest/ground/exar_kun_intro_01:task07_retrieve_menu_text	@quest/ground/exar_kun_intro_01:task07_start_message	exar_kun_intro_cultist	@quest/ground/exar_kun_intro_01:task07_utterance_wave_1	3	exar_kun_intro_cultist	1	3	exar_kun_intro_cultist	@quest/ground/exar_kun_intro_01:task07_utterance_wave_2	3	exar_kun_intro_cultist	2	3	exar_kun_intro_cultist	@quest/ground/exar_kun_intro_01:task07_utterance_wave_3	3	exar_kun_intro_cultist	2	3	exar_kun_intro_cultist	@quest/ground/exar_kun_intro_01:task07_utterance_wave_4	3	exar_kun_intro_cultist	3	4			1.0		0	0			1.0		0	0									
quest.task.ground.wait_for_signal	@quest/ground/exar_kun_intro_01:task08_journal_entry_title	@quest/ground/exar_kun_intro_01:task08_journal_entry_description	1			0	9		exar_kun_intro_01_08	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		exar_kun_intro_01_08	0			0		0	0	0	0																																																														
quest.task.ground.retrieve_item	@quest/ground/exar_kun_intro_01:task09_journal_entry_title	@quest/ground/exar_kun_intro_01:task09_journal_entry_description	1			0	10		exar_kun_intro_01_09	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0									object/tangible/quest/township/exar_kun_intro_grenz_terminal.iff	1	@quest/ground/exar_kun_intro_01:task09_item_name	100	0	0	0	@quest/ground/exar_kun_intro_01:task09_retrieve_menu_text																																														
quest.task.ground.show_message_box	@quest/ground/exar_kun_intro_01:task10_journal_entry_title	@quest/ground/exar_kun_intro_01:task10_journal_entry_description	1			0	11		exar_kun_intro_01_09b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													@quest/ground/exar_kun_intro_01:task10_message_box_title	@quest/ground/exar_kun_intro_01:task10_message_box_text		-1	-1	-1	-1																																																						
quest.task.ground.wait_for_signal	@quest/ground/exar_kun_intro_01:task11_journal_entry_title	@quest/ground/exar_kun_intro_01:task11_journal_entry_description	1			0	12		exar_kun_intro_01_10	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		exar_kun_intro_01_10	0			0		0	0	0	0																																																														
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																																									
quest.task.ground.give_item			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																																																						object/tangible/quest/township/exar_kun_intro_corpse_datapad.iff	1	1	1	0	0	0	0	give
