ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	i	s	i	s	s	i	i	i	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/c_story1_3_neu:task00_journal_entry_title	@quest/ground/c_story1_3_neu:task00_journal_entry_description	1			0	1		talkWire1	1							1		1			1	talus	490	6	-2936			@quest/ground/c_story1_3_neu:task00_waypoint_name	talkedWire1	0			0		0	0	0	0																																
quest.task.ground.wait_for_signal			0			0	2		talkWire2	0							1		1			0	tatooine	0.0	0.0	0.0				talkedWire2	0			0		0	0	0	0																																
quest.task.ground.go_to_location	@quest/ground/c_story1_3_neu:task02_journal_entry_title	@quest/ground/c_story1_3_neu:task02_journal_entry_description	1			0	3			0							1		1			1	naboo	2018	12	2342			@quest/ground/c_story1_3_neu:task02_waypoint_name										0	5																															
quest.task.ground.retrieve_item	@quest/ground/c_story1_3_neu:task03_journal_entry_title	@quest/ground/c_story1_3_neu:task03_journal_entry_description	1			0	4,6			0							1		1			0	tatooine	0.0	0.0	0.0													0		object/tangible/quest/syren_3_computer_terminal.iff	1	@quest/ground/c_story1_3_neu:task03_item_name	100	@quest/ground/c_story1_3_neu:task03_retrieve_menu_text																										
quest.task.ground.escort	@quest/ground/c_story1_3_neu:task04_journal_entry_title	@quest/ground/c_story1_3_neu:task04_journal_entry_description	1			0		5	escortTask	1							1		1			0	tatooine	0.0	0.0	0.0															c_syren_3_arrworr																														
quest.task.ground.clear_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0																																													
quest.task.ground.wait_for_signal			0			0	7		talkWookiee1	0							1		1			0	tatooine	0.0	0.0	0.0				talkedWookiee1	0			0		0	0	0	0																																
quest.task.ground.encounter			0			0	8			0							1		1			0	tatooine	0.0	0.0	0.0													0							c_syren_3_trando_boss	1	2	6	0.0	0.0																				
quest.task.ground.wait_for_signal	@quest/ground/c_story1_3_neu:task08_journal_entry_title	@quest/ground/c_story1_3_neu:task08_journal_entry_description	1			0	9		talkWookiee2	0							1		1			0	tatooine	0.0	0.0	0.0				talkedWookiee2	0			0		0	0	0	0																																
quest.task.ground.go_to_location	@quest/ground/c_story1_3_neu:task09_journal_entry_title	@quest/ground/c_story1_3_neu:task09_journal_entry_description	1			0	10		escortWookiee	0							1		1			0	naboo	2018	12	2342													0	10																															
quest.task.ground.wait_for_signal	@quest/ground/c_story1_3_neu:task10_journal_entry_title	@quest/ground/c_story1_3_neu:task10_journal_entry_description	1			0	11,14		talkWookiee3	0							1		1			0	tatooine	0.0	0.0	0.0				talkedWookiee3	0			0		0	0	0	0																																
quest.task.ground.wait_for_signal	@quest/ground/c_story1_3_neu:task11_journal_entry_title	@quest/ground/c_story1_3_neu:task11_journal_entry_description	1			0	12		return	1							1		1			1	naboo	-5152	0.0	4293			@quest/ground/c_story1_3_neu:task11_waypoint_name	returned	0			0		0	0	0	0																																
quest.task.ground.reward			0			0	13			0							1		1			0	tatooine	0.0	0.0	0.0																					1						0		0	10000		1			1	0.1	0.1	0.1	0.1		1	0.1			
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0																																													
quest.task.ground.timer			0			0	15			0							1		1			0	tatooine	0.0	0.0	0.0																																												300	600
quest.task.ground.encounter			0			0				0							1		1			0	tatooine	0.0	0.0	0.0													0							ep3_avatar_blackscale_guard	3	5	30	0.0	0.0																				
