ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,3,4,5,7			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													
quest.task.ground.wait_for_tasks	@quest/ground/naboo_24_azure_cabal_01:task01_journal_entry_title	@quest/ground/naboo_24_azure_cabal_01:task01_journal_entry_description	1			0	2		azure_cabal_loruna_endorsements_01_waiting	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		naboo_24_azure_cabal_01	azure_cabal_loruna_endorsements_01_broma_working	@quest/ground/naboo_24_azure_cabal_01:task01_task_display_string_1	naboo_24_azure_cabal_01	azure_cabal_loruna_endorsements_01_porgryn	@quest/ground/naboo_24_azure_cabal_01:task01_task_display_string_2	naboo_24_azure_cabal_01	azure_cabal_loruna_endorsements_01_tweego	@quest/ground/naboo_24_azure_cabal_01:task01_task_display_string_3	naboo_24_azure_cabal_01	azure_cabal_loruna_endorsements_01_propti	@quest/ground/naboo_24_azure_cabal_01:task01_task_display_string_4							0									
quest.task.ground.wait_for_signal	@quest/ground/naboo_24_azure_cabal_01:task02_journal_entry_title	@quest/ground/naboo_24_azure_cabal_01:task02_journal_entry_description	1			0			azure_cabal_loruna_endorsements_01_return	0				0	none	none				0		1			1	naboo	-5150	6	4285			@quest/ground/naboo_24_azure_cabal_01:task02_waypoint_name	0	0.0	0.0	0.0																				0	endorsedByAll	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/naboo_24_azure_cabal_01:task03_journal_entry_title	@quest/ground/naboo_24_azure_cabal_01:task03_journal_entry_description	1			0			azure_cabal_loruna_endorsements_01_propti	0				0	none	none				1		1			1	tatooine	-3041	5	2212			@quest/ground/naboo_24_azure_cabal_01:task03_waypoint_name	0	0.0	0.0	0.0																				0	endorsedByProptiXaroon	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/naboo_24_azure_cabal_01:task04_journal_entry_title	@quest/ground/naboo_24_azure_cabal_01:task04_journal_entry_description	1			0			azure_cabal_loruna_endorsements_01_tweego	0				0	none	none				1		1			1	tatooine	1283	7	3154			@quest/ground/naboo_24_azure_cabal_01:task04_waypoint_name	0	0.0	0.0	0.0																				0	endorsedByTweego	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/naboo_24_azure_cabal_01:task05_journal_entry_title	@quest/ground/naboo_24_azure_cabal_01:task05_journal_entry_description	1			0	6		azure_cabal_loruna_endorsements_01_meet_porgryn	0				0	none	none				1		1			1	tatooine	-5144	75	-6617			@quest/ground/naboo_24_azure_cabal_01:task05_waypoint_name	0	0.0	0.0	0.0																				0	workingForProgryn	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/naboo_24_azure_cabal_01:task06_journal_entry_title	@quest/ground/naboo_24_azure_cabal_01:task06_journal_entry_description	1			0			azure_cabal_loruna_endorsements_01_porgryn	0				0	none	none				1		1			0	naboo	0	0	0			@quest/ground/naboo_24_azure_cabal_01:task06_waypoint_name	0	0.0	0.0	0.0																				0	tatooine_24_azure_cabal_top_world_01_return_to_porgryn	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/naboo_24_azure_cabal_01:task07_journal_entry_title	@quest/ground/naboo_24_azure_cabal_01:task07_journal_entry_description	1			0	8		azure_cabal_loruna_endorsements_01_broma	0				0	none	none				1		1			1	naboo	-5832	6	4121			@quest/ground/naboo_24_azure_cabal_01:task07_waypoint_name	0	0.0	0.0	0.0																				0	metBromaLak	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/naboo_24_azure_cabal_01:task08_journal_entry_title	@quest/ground/naboo_24_azure_cabal_01:task08_journal_entry_description	1			0			azure_cabal_loruna_endorsements_01_broma_working	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	endorsedByBromaLak	0			0		0	0	0
