ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i	s	s	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/jabba_bib_fortuna:task00_journal_entry_title	@quest/ground/jabba_bib_fortuna:task00_journal_entry_description	1			0	1		speakToRomo	1							1		1			1	tatooine	-5224	0.0	-6560			@quest/ground/jabba_bib_fortuna:task00_waypoint_name	spokenToRomo	0			0		0	0	0	0										
quest.task.ground.destroy_multi	@quest/ground/jabba_bib_fortuna:task01_journal_entry_title	@quest/ground/jabba_bib_fortuna:task01_journal_entry_description	1			0	2		killingValariansForRomo	1							1		1			1	tatooine	-3867	0.0	-4292			@quest/ground/jabba_bib_fortuna:task01_waypoint_name										0		valarian		10	0					
quest.task.ground.comm_player			0			0	3			0							1		1			0	tatooine	0.0	0.0	0.0																			@quest/ground/jabba_bib_fortuna:task02_comm_message_text	object/mobile/bib_fortuna.iff			
quest.task.ground.wait_for_signal	@quest/ground/jabba_bib_fortuna:task03_journal_entry_title	@quest/ground/jabba_bib_fortuna:task03_journal_entry_description	1			0	4		returnToRomo	1							1		1			1	tatooine	-5223	75	-6560			@quest/ground/jabba_bib_fortuna:task03_waypoint_name	completedRomosQuest	0			0		0	0	0	0										
quest.task.ground.destroy_multi_and_loot	@quest/ground/jabba_bib_fortuna:task04_journal_entry_title	@quest/ground/jabba_bib_fortuna:task04_journal_entry_description	1			0	5		getRomosDisks	1							1		1			1	tatooine	-3867	20	-4292			@quest/ground/jabba_bib_fortuna:task04_waypoint_name										0		valarian			0			Romo Vax's disk	7	100
quest.task.ground.wait_for_signal	@quest/ground/jabba_bib_fortuna:task05_journal_entry_title	@quest/ground/jabba_bib_fortuna:task05_journal_entry_description	1			0	6		returnRomosDisks	1							1		1			1	tatooine	-5223	75	-6560			@quest/ground/jabba_bib_fortuna:task05_waypoint_name	romosDisksReturned	0			0		0	0	0	0										
quest.task.ground.wait_for_signal	@quest/ground/jabba_bib_fortuna:task06_journal_entry_title	@quest/ground/jabba_bib_fortuna:task06_journal_entry_description	1			0	7		takeDiskToBib	1							1		1			1	tatooine	-5857	90	-6175			@quest/ground/jabba_bib_fortuna:task06_waypoint_name	romosDisksDelivered	0			0		0	0	0	0										
quest.task.ground.destroy_multi	@quest/ground/jabba_bib_fortuna:task07_journal_entry_title	@quest/ground/jabba_bib_fortuna:task07_journal_entry_description	1			0	8		killSennex	1							1		1			1	tatooine	-4927	0.0	1268			@quest/ground/jabba_bib_fortuna:task07_waypoint_name										0	sennex_guard	sennex		20	0					
quest.task.ground.comm_player			0			0	9			0							1		1			0	tatooine	0.0	0.0	0.0																			@quest/ground/jabba_bib_fortuna:task08_comm_message_text	object/mobile/bib_fortuna.iff			
quest.task.ground.destroy_multi	@quest/ground/jabba_bib_fortuna:task09_journal_entry_title	@quest/ground/jabba_bib_fortuna:task09_journal_entry_description	1			0	10		killRomoVax	1							1		1			1	tatooine	-4927	0.0	1268			@quest/ground/jabba_bib_fortuna:task09_waypoint_name										0	fighting_romo_vax			1	0					
quest.task.ground.wait_for_signal	@quest/ground/jabba_bib_fortuna:task10_journal_entry_title	@quest/ground/jabba_bib_fortuna:task10_journal_entry_description	1			0			returnToBib	1							1		1			1	tatooine	-5857	90	-6175			@quest/ground/jabba_bib_fortuna:task10_waypoint_name	romoVaxKilled	0			0		0	0	0	0										
