ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	s	i	s	i	i	i	i	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi	@quest/ground/tatooine_eisley_drensbounty_v2:task00_journal_entry_title	@quest/ground/tatooine_eisley_drensbounty_v2:task00_journal_entry_description	1			0	1		tat_eisley_drensbounty_e1	1				0	none	none				1		1			1	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_drensbounty_v2:task00_waypoint_name	0	0.0	0.0	0.0		tatooine_opening_dren			1	0	0																			
quest.task.ground.retrieve_item	@quest/ground/tatooine_eisley_drensbounty_v2:task01_journal_entry_title	@quest/ground/tatooine_eisley_drensbounty_v2:task01_journal_entry_description	1			0	2		tat_eisley_drensbounty_e1a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0							0	object/tangible/quest/tatooine_eisley_durr_datapad.iff	1	@quest/ground/tatooine_eisley_drensbounty_v2:task01_item_name	100	0	0	3	@quest/ground/tatooine_eisley_drensbounty_v2:task01_retrieve_menu_text											
quest.task.ground.comm_player	@quest/ground/tatooine_eisley_drensbounty_v2:task02_journal_entry_title	@quest/ground/tatooine_eisley_drensbounty_v2:task02_journal_entry_description	1			0	3		tat_eisley_drensbounty_e1b	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																@quest/ground/tatooine_eisley_drensbounty_v2:task02_comm_message_text	object/mobile/dressed_tatooine_opening_reimos.iff									
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_drensbounty_v2:task03_journal_entry_title	@quest/ground/tatooine_eisley_drensbounty_v2:task03_journal_entry_description	1			0	4,5		tat_eisley_drensbounty_e2	0				0	none	none				1		1			1	tatooine	3727.89990234375	4.30000019073486	-4144	tatooine	entryb	@quest/ground/tatooine_eisley_drensbounty_v2:task03_waypoint_name	1	3727	0.0	-4182	@quest/ground/tatooine_eisley_drensbounty_v2:task03_entrance_waypoint_name						0											tat_eisley_drensbounty_e2	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_drensbounty_v2:task04_journal_entry_title	@quest/ground/tatooine_eisley_drensbounty_v2:task04_journal_entry_description	1			0			tat_eisley_drensbounty_e2a	0				0	none	none			tatooine_eisley_appropriating_funds	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0							0											tat_eisley_drensbounty_e2a	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_drensbounty_v2:task05_journal_entry_title	@quest/ground/tatooine_eisley_drensbounty_v2:task05_journal_entry_description	1			0	6		tat_eisley_drensbounty_e3	0				0	none	none				1		1			1	tatooine	3738.5	0.300000011920929	-4118.2001953125	tatooine	guardroom	@quest/ground/tatooine_eisley_drensbounty_v2:task05_waypoint_name	1	3727	0.0	-4182	@quest/ground/tatooine_eisley_drensbounty_v2:task05_entrance_waypoint_name						0											tat_eisley_drensbounty_e3	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_drensbounty_v2:task06_journal_entry_title	@quest/ground/tatooine_eisley_drensbounty_v2:task06_journal_entry_description	1			0	7		tat_eisley_drensbounty_e4	0				0	none	none				1		1			1	tatooine	3561.39990234375	-27.7000007629395	-4099.7998046875	tatooine	generator	@quest/ground/tatooine_eisley_drensbounty_v2:task06_waypoint_name	1	3727	0.0	-4182	@quest/ground/tatooine_eisley_drensbounty_v2:task06_entrance_waypoint_name						0											tat_eisley_drensbounty_e4	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_drensbounty_v2:task07_journal_entry_title	@quest/ground/tatooine_eisley_drensbounty_v2:task07_journal_entry_description	1			0	8		tat_eisley_drensbounty_e5	0				0	none	none				1		1			1	tatooine	3575.39990234375	-27.7000007629395	-4098.39990234375	tatooine	generator	@quest/ground/tatooine_eisley_drensbounty_v2:task07_waypoint_name	1	3727	0.0	-4182	@quest/ground/tatooine_eisley_drensbounty_v2:task07_entrance_waypoint_name						0											tat_eisley_drensbounty_e5	0			0		0	0	0
quest.task.ground.comm_player	@quest/ground/tatooine_eisley_drensbounty_v2:task08_journal_entry_title	@quest/ground/tatooine_eisley_drensbounty_v2:task08_journal_entry_description	1			0	9		tat_eisley_drensbounty_e6	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																@quest/ground/tatooine_eisley_drensbounty_v2:task08_comm_message_text	object/mobile/dressed_tatooine_opening_reimos.iff									
