ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	s	s	s	s	s	s	i	i	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i	i	i
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_04:task00_journal_entry_title	@quest/ground/corellia_38_corsec_files_04:task00_journal_entry_description	1			0	1		corsec_files_04_01	1							1		1			1	corellia	-3469	78	3023			@quest/ground/corellia_38_corsec_files_04:task00_waypoint_name	0	0.0	0.0	0.0		corsec_files_04_01	0			0		0	0	0	0																																								
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_04:task01_journal_entry_title	@quest/ground/corellia_38_corsec_files_04:task01_journal_entry_description	1			0	2		corsec_files_04_02	1							1		1			1	corellia	-3324	101	3411			@quest/ground/corellia_38_corsec_files_04:task01_waypoint_name	0	0.0	0.0	0.0		corsec_files_04_02	0			0		0	0	0	0																																								
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_04:task02_journal_entry_title	@quest/ground/corellia_38_corsec_files_04:task02_journal_entry_description	1			0	3		corsec_files_04_03	1							1		1			1	corellia	-3329	101	3403			@quest/ground/corellia_38_corsec_files_04:task02_waypoint_name	0	-3329	101	3403	@quest/ground/corellia_38_corsec_files_04:task02_entrance_waypoint_name										0	object/tangible/quest/corellia/corellia_38_crate_ryll.iff	8	@quest/ground/corellia_38_corsec_files_04:task02_item_name	100	@quest/ground/corellia_38_corsec_files_04:task02_retrieve_menu_text																																			
quest.task.ground.comm_player	@quest/ground/corellia_38_corsec_files_04:task03_journal_entry_title	@quest/ground/corellia_38_corsec_files_04:task03_journal_entry_description	1			0	4		corsec_files_04_04	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																	@quest/ground/corellia_38_corsec_files_04:task03_comm_message_text	object/mobile/dressed_criminal_thug_bothan_male_01.iff																																	
quest.task.ground.destroy_multi	@quest/ground/corellia_38_corsec_files_04:task04_journal_entry_title	@quest/ground/corellia_38_corsec_files_04:task04_journal_entry_description	1			0	5		corsec_files_04_04a	1							1		1			1	corellia	-2955	30	3397			@quest/ground/corellia_38_corsec_files_04:task04_waypoint_name	0	0.0	0.0	0.0											0								corellia_vuuls_guard			12	0																												
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_04:task05_journal_entry_title	@quest/ground/corellia_38_corsec_files_04:task05_journal_entry_description	1			0	6		corsec_files_04_05	1							1		1			1	corellia	-2963	31	3401			@quest/ground/corellia_38_corsec_files_04:task05_waypoint_name	0	0.0	0.0	0.0		corsec_files_04_05	0			0		0	0	0	0																																								
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_38_corsec_files_04:task06_journal_entry_title	@quest/ground/corellia_38_corsec_files_04:task06_journal_entry_description	1			0	7,10,12,14		corsec_files_04_06	1							1		1			1	corellia	-2278	17	3298			@quest/ground/corellia_38_corsec_files_04:task06_waypoint_name	0	0.0	0.0	0.0											0								corellia_chirq_ladonna_poe				0	You received Ladonna Poe's access card.	1	100																									
quest.task.ground.wait_for_tasks	@quest/ground/corellia_38_corsec_files_04:task07_journal_entry_title	@quest/ground/corellia_38_corsec_files_04:task07_journal_entry_description	1			0	8		corsec_files_04_07	1							1		1			1	corellia	-2237	16	3303			@quest/ground/corellia_38_corsec_files_04:task07_waypoint_name	0	-2237	16	3303											0																quest/corellia_38_corsec_files_04	corsec_files_04_07a	@quest/ground/corellia_38_corsec_files_04:task07_task_display_string_1	quest/corellia_38_corsec_files_04	corsec_files_04_07bb	@quest/ground/corellia_38_corsec_files_04:task07_task_display_string_2	quest/corellia_38_corsec_files_04	corsec_files_04_07cc	@quest/ground/corellia_38_corsec_files_04:task07_task_display_string_3																
quest.task.ground.comm_player	@quest/ground/corellia_38_corsec_files_04:task08_journal_entry_title	@quest/ground/corellia_38_corsec_files_04:task08_journal_entry_description	1			0	9		corsec_files_04_08a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																	@quest/ground/corellia_38_corsec_files_04:task08_comm_message_text	object/mobile/dressed_corsec_captain_human_male_01.iff																																	
