ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	RADIUS	TIMER_AMOUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i
quest.task.ground.comm_player	@quest/ground/chapter8_publish_gift_activation:task00_journal_entry_title	@quest/ground/chapter8_publish_gift_activation:task00_journal_entry_description	1			0	1,4,7			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/chapter8_publish_gift_activation:task00_comm_message_text	object/mobile/r2.iff		
quest.task.ground.go_to_location	@quest/ground/chapter8_publish_gift_activation:task01_journal_entry_title	@quest/ground/chapter8_publish_gift_activation:task01_journal_entry_description	1			0	2			0				0	none	none				1		1			1	tatooine	-1132	13	-3542			@quest/ground/chapter8_publish_gift_activation:task01_waypoint_name	0	0.0	0.0	0.0				10.0	0
quest.task.ground.comm_player			0			0	3			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/chapter8_publish_gift_activation:task02_comm_message_text	object/mobile/r2.iff		
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0					
quest.task.ground.go_to_location	@quest/ground/chapter8_publish_gift_activation:task04_journal_entry_title	@quest/ground/chapter8_publish_gift_activation:task04_journal_entry_description	1			0	5			0				0	none	none				1		1			1	naboo	4767	0.0	-4812			@quest/ground/chapter8_publish_gift_activation:task04_waypoint_name	0	0.0	0.0	0.0				10.0	0
quest.task.ground.comm_player			0			0	6			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/chapter8_publish_gift_activation:task05_comm_message_text	object/mobile/r2.iff		
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0					
quest.task.ground.go_to_location	@quest/ground/chapter8_publish_gift_activation:task07_journal_entry_title	@quest/ground/chapter8_publish_gift_activation:task07_journal_entry_description	1			0	8			0				0	none	none				1		1			1	tatooine	3429	4	-4787			@quest/ground/chapter8_publish_gift_activation:task07_waypoint_name	0	0.0	0.0	0.0				10.0	0
quest.task.ground.comm_player			0			0	9			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/chapter8_publish_gift_activation:task08_comm_message_text	object/mobile/r2.iff		
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0					
