ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	RADIUS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	s	s	s	s	s	i	i	i	i
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_03:task00_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task00_journal_entry_description	1			0	1		corsec_files_03_01	1							1		1			1	corellia	-3102	31	2800			@quest/ground/corellia_38_corsec_files_03:task00_waypoint_name	0	0.0	0.0	0.0		corsec_files_03_01	0			0		0	0	0	0													
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_03:task01_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task01_journal_entry_description	1			0	2		corsec_files_03_02	1							1		1			1	corellia	-3623	86	3127			@quest/ground/corellia_38_corsec_files_03:task01_waypoint_name	0	-3623	86	3127	@quest/ground/corellia_38_corsec_files_03:task01_entrance_waypoint_name	corsec_files_03_02	0			0		0	0	0	0													
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_03:task02_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task02_journal_entry_description	1			0	3		corsec_files_03_03	1							1		1			1	corellia	-3623	86	3127			@quest/ground/corellia_38_corsec_files_03:task02_waypoint_name	0	-3623	86	3127	@quest/ground/corellia_38_corsec_files_03:task02_entrance_waypoint_name										0	object/tangible/quest/corellia/corellia_38_mayor_terminal.iff	1	@quest/ground/corellia_38_corsec_files_03:task02_item_name	100	@quest/ground/corellia_38_corsec_files_03:task02_retrieve_menu_text								
quest.task.ground.go_to_location	@quest/ground/corellia_38_corsec_files_03:task03_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task03_journal_entry_description	1			0	4		corsec_files_03_04	1							1		1			1	corellia	-3646	101	2870			@quest/ground/corellia_38_corsec_files_03:task03_waypoint_name	0	0.0	0.0	0.0											0						10.0							
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_03:task04_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task04_journal_entry_description	1			0	5		corsec_files_03_05	1							1		1			1	corellia	-3646	101	2870			@quest/ground/corellia_38_corsec_files_03:task04_waypoint_name	0	-3646	101	2870	@quest/ground/corellia_38_corsec_files_03:task04_entrance_waypoint_name										0	object/tangible/quest/corellia/corellia_38_transmitter.iff	1	@quest/ground/corellia_38_corsec_files_03:task04_item_name	100	@quest/ground/corellia_38_corsec_files_03:task04_retrieve_menu_text								
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_03:task05_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task05_journal_entry_description	1			0	6		corsec_files_03_06	1							1		1			1	corellia	-3646	101	2870			@quest/ground/corellia_38_corsec_files_03:task05_waypoint_name	0	-3646	101	2870	@quest/ground/corellia_38_corsec_files_03:task05_entrance_waypoint_name										0	object/tangible/quest/corellia/corellia_38_paper_scrap.iff	1	@quest/ground/corellia_38_corsec_files_03:task05_item_name	100	@quest/ground/corellia_38_corsec_files_03:task05_retrieve_menu_text								
quest.task.ground.show_message_box	@quest/ground/corellia_38_corsec_files_03:task06_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task06_journal_entry_description	1			0	7		corsec_files_03_06a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																		@quest/ground/corellia_38_corsec_files_03:task06_message_box_title	@quest/ground/corellia_38_corsec_files_03:task06_message_box_text		-1	-1	-1	-1
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_03:task07_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task07_journal_entry_description	1			0	8		corsec_files_03_07	1							1		1			1	corellia	-3073	31	2995			@quest/ground/corellia_38_corsec_files_03:task07_waypoint_name	0	-3073	31	2995	@quest/ground/corellia_38_corsec_files_03:task07_entrance_waypoint_name										0	object/tangible/quest/corellia/corellia_38_hershel_corpse.iff	1	@quest/ground/corellia_38_corsec_files_03:task07_item_name	100	@quest/ground/corellia_38_corsec_files_03:task07_retrieve_menu_text								
quest.task.ground.show_message_box	@quest/ground/corellia_38_corsec_files_03:task08_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task08_journal_entry_description	1			0	9			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																		@quest/ground/corellia_38_corsec_files_03:task08_message_box_title	@quest/ground/corellia_38_corsec_files_03:task08_message_box_text		-1	-1	-1	-1
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_03:task09_journal_entry_title	@quest/ground/corellia_38_corsec_files_03:task09_journal_entry_description	1			0			corsec_files_03_08	1							1		1			1	corellia	-3102	31	2800			@quest/ground/corellia_38_corsec_files_03:task09_waypoint_name	0	0.0	0.0	0.0		corsec_files_03_08	0			0		0	0	0	0													
