ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	i	i	s	i	i	i	s	s	s	b	s	s	s	s	f	f	f	s	s	s	i	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1,6			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																										
quest.task.ground.go_to_location	@quest/ground/ep3_stren_jessk_bounty:task01_journal_entry_title	@quest/ground/ep3_stren_jessk_bounty:task01_journal_entry_description	1			1	2		taskGoToTatooine	1				0	none	none				1		1			0	tatooine	3528	5	-4803				0	0.0	0.0	0.0		200	0																																							
quest.task.ground.timer			0			0	3		jesskTimer	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				60	75																																					
quest.task.ground.encounter	@quest/ground/ep3_stren_jessk_bounty:task03_journal_entry_title	@quest/ground/ep3_stren_jessk_bounty:task03_journal_entry_description	1			0	5	4	taskValarianEncounter	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0			valarian_henchman	2	5	8	0.0	0.0																															
quest.task.ground.clear_quest	@quest/ground/ep3_stren_jessk_bounty:task04_journal_entry_title	@quest/ground/ep3_stren_jessk_bounty:task04_journal_entry_description	0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																										
quest.task.ground.wait_for_signal	@quest/ground/ep3_stren_jessk_bounty:task05_journal_entry_title	@quest/ground/ep3_stren_jessk_bounty:task05_journal_entry_description	1			0			speakWithCheated	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0									gotJesskDirections	0			0		0	0	0																						
quest.task.ground.wait_for_signal			0			0	7,10			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0									gotJesskDirections	0			0		0	0	0																						
quest.task.ground.timer			0			0	8			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				180	240																																					
quest.task.ground.encounter	@quest/ground/ep3_stren_jessk_bounty:task08_journal_entry_title	@quest/ground/ep3_stren_jessk_bounty:task08_journal_entry_description	1			0		9	taskJesskEncounter	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0			ep3_qst_jessk	1	5	12	0.0	0.0																															
