ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	PERFORM_DURATION	PERFORM_CELLNAME	PERFORM_BUILDING	PERFORM_TYPE	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	i	s	s	i	i	s	b	s	s	s	s	f	f	f	s	s	s	i	i	i	i
quest.task.ground.nothing			0			0	1,3,5,7			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						
quest.task.ground.perform	@quest/ground/c_prof_entertainer:task01_journal_entry_title	@quest/ground/c_prof_entertainer:task01_journal_entry_description	1			0	2		espaCantina	1				0	none	none				1		1			1	tatooine	-3030	0.0	2216			@quest/ground/c_prof_entertainer:task01_waypoint_name	0	0.0	0.0	0.0		300		1256055	0	0																
quest.task.ground.wait_for_signal	@quest/ground/c_prof_entertainer:task02_journal_entry_title	@quest/ground/c_prof_entertainer:task02_journal_entry_description	1			0			espaContact	1				0	none	none				1		1			0	tatooine	-3030	0.0	2216			@quest/ground/c_prof_entertainer:task02_waypoint_name	0	0.0	0.0	0.0						0	c_prof_ent_espa	0			0		0	0	0							
quest.task.ground.perform	@quest/ground/c_prof_entertainer:task03_journal_entry_title	@quest/ground/c_prof_entertainer:task03_journal_entry_description	1			0	4			1				0	none	none				1		1			1	tatooine	-1178	0.0	-3648			@quest/ground/c_prof_entertainer:task03_waypoint_name	0	0.0	0.0	0.0		300		1223845	0	0																
quest.task.ground.wait_for_signal	@quest/ground/c_prof_entertainer:task04_journal_entry_title	@quest/ground/c_prof_entertainer:task04_journal_entry_description	1			0			bestineContact	1				0	none	none				1		1			0	tatooine	-1178	0.0	-3648			@quest/ground/c_prof_entertainer:task04_waypoint_name	0	0.0	0.0	0.0						0	c_prof_ent_bestine	0			0		0	0	0							
quest.task.ground.perform	@quest/ground/c_prof_entertainer:task05_journal_entry_title	@quest/ground/c_prof_entertainer:task05_journal_entry_description	1			0	6			0				0	none	none				1		1			1	tatooine	123	0.0	-5365			@quest/ground/c_prof_entertainer:task05_waypoint_name	0	0.0	0.0	0.0		300		1213343	0	0																
quest.task.ground.wait_for_signal	@quest/ground/c_prof_entertainer:task06_journal_entry_title	@quest/ground/c_prof_entertainer:task06_journal_entry_description	1			0			anchorContact	1				0	none	none				1		1			1	tatooine	123	0.0	-5365			@quest/ground/c_prof_entertainer:task06_waypoint_name	0	0.0	0.0	0.0						0	c_prof_ent_anchor	0			0		0	0	0							
quest.task.ground.wait_for_signal	@quest/ground/c_prof_entertainer:task07_journal_entry_title	@quest/ground/c_prof_entertainer:task07_journal_entry_description	1			0	8,10,12		firstdone	1				0	none	none				1		1			1	tatooine	3467	0.0	-4852			@quest/ground/c_prof_entertainer:task07_waypoint_name	0	0.0	0.0	0.0						0	c_prof_ent_firstdone	0			0		0	0	0							
quest.task.ground.perform			0			0	9			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		360		1188045	0	0																
quest.task.ground.show_message_box	@quest/ground/c_prof_entertainer:task09_journal_entry_title	@quest/ground/c_prof_entertainer:task09_journal_entry_description	1			0			secondinfo	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																@quest/ground/c_prof_entertainer:task09_message_box_title	@quest/ground/c_prof_entertainer:task09_message_box_text		-1	-1	-1	-1
quest.task.ground.perform			0			0	11			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		120		1188045	0	0																
quest.task.ground.show_message_box	@quest/ground/c_prof_entertainer:task11_journal_entry_title	@quest/ground/c_prof_entertainer:task11_journal_entry_description	1			0			firstinfo	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																@quest/ground/c_prof_entertainer:task11_message_box_title	@quest/ground/c_prof_entertainer:task11_message_box_text		-1	-1	-1	-1
quest.task.ground.perform	@quest/ground/c_prof_entertainer:task12_journal_entry_title	@quest/ground/c_prof_entertainer:task12_journal_entry_description	1			0	13		longdance	0				0	none	none				1		1			1	tatooine	3241	0.0	-4845			@quest/ground/c_prof_entertainer:task12_waypoint_name	0	0.0	0.0	0.0		600		1188045	0	0																
quest.task.ground.show_message_box			0			0	14		jabbainfo	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																@quest/ground/c_prof_entertainer:task13_message_box_title	@quest/ground/c_prof_entertainer:task13_message_box_text		-1	-1	-1	-1
quest.task.ground.wait_for_signal	@quest/ground/c_prof_entertainer:task14_journal_entry_title	@quest/ground/c_prof_entertainer:task14_journal_entry_description	1			0	15		finalreturn	0				0	none	none				1		1			1	tatooine	3467	0.0	-4852			@quest/ground/c_prof_entertainer:task14_waypoint_name	0	0.0	0.0	0.0						0	c_prof_ent_finishQuest	0			0		0	0	0							
quest.task.ground.complete_quest			1			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						
