ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	MIN_TIME	MAX_TIME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i	s	i	i	i	i	s	s	s	i	s	i	s
quest.task.ground.wait_for_signal	@quest/ground/npe_commando:task00_journal_entry_title	@quest/ground/npe_commando:task00_journal_entry_description	1			0	1		elevator_toDroid	0							1		1			1	dungeon1	-110	-1	150	yavin4	elevator	@quest/ground/npe_commando:task00_waypoint_name	0	0.0	0.0	0.0		npe_elevator_main_down	0			0		0	0	0	0																	
quest.task.ground.destroy_multi	@quest/ground/npe_commando:task01_journal_entry_title	@quest/ground/npe_commando:task01_journal_entry_description	1			0	2		thugs	1							1		1			1	dungeon1	-165	-29	103	yavin4	basementroom02	@quest/ground/npe_commando:task01_waypoint_name	0	0.0	0.0	0.0											0	npe_thug_01			3	0												
quest.task.ground.wait_for_signal	@quest/ground/npe_commando:task02_journal_entry_title	@quest/ground/npe_commando:task02_journal_entry_description	1			0	3		elevator_fromDroid	0							1		1			1	dungeon1	-110	-31	150	yavin4	elevator	@quest/ground/npe_commando:task02_waypoint_name	0	0.0	0.0	0.0		npe_elevator_droid_up	0			0		0	0	0	0																	
quest.task.ground.wait_for_signal	@quest/ground/npe_commando:task03_journal_entry_title	@quest/ground/npe_commando:task03_journal_entry_description	1			0	4		return1	0							1		1			1	dungeon1	-185.699996948242	0.600000023841858	122	yavin4	cloninglab	@quest/ground/npe_commando:task03_waypoint_name	0	0.0	0.0	0.0		npe_grenade_done	0			0		0	0	0	0																	
quest.task.ground.wait_for_signal	@quest/ground/npe_commando:task04_journal_entry_title	@quest/ground/npe_commando:task04_journal_entry_description	1			0	5		elevator_toData	0							1		1			1	dungeon1	-110	-1	150	yavin4	elevator	@quest/ground/npe_commando:task04_waypoint_name	0	0.0	0.0	0.0		npe_elevator_main_up	0			0		0	0	0	0																	
quest.task.ground.destroy_multi_and_loot	@quest/ground/npe_commando:task05_journal_entry_title	@quest/ground/npe_commando:task05_journal_entry_description	1			0	6		get_data	1							1		1			1	dungeon1	-174	31	109	yavin4	greenhouse	@quest/ground/npe_commando:task05_waypoint_name	0	0.0	0.0	0.0											0	npe_commando				0	Datapad Retrieved	1	100									
quest.task.ground.timer			0			0	7			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				3	5							
quest.task.ground.comm_player			0			0	8			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						@quest/ground/npe_commando:task07_comm_message_text	object/mobile/dressed_npe_commando.iff					
quest.task.ground.timer	@quest/ground/npe_commando:task08_journal_entry_title	@quest/ground/npe_commando:task08_journal_entry_description	1			0	9		dataUpload	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				10	15							
quest.task.ground.comm_player			0			0	10			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						@quest/ground/npe_commando:task09_comm_message_text	object/mobile/dressed_npe_commando.iff					
quest.task.ground.retrieve_item	@quest/ground/npe_commando:task10_journal_entry_title	@quest/ground/npe_commando:task10_journal_entry_description	1			0	11		defuse	1							1		1			1	dungeon1	-166.5	29	243.800003051758	yavin4	r31	@quest/ground/npe_commando:task10_waypoint_name	0	0.0	0.0	0.0											0													object/tangible/npe/npe_commando_bomb.iff	1	@quest/ground/npe_commando:task10_item_name	100	@quest/ground/npe_commando:task10_retrieve_menu_text
quest.task.ground.wait_for_signal	@quest/ground/npe_commando:task11_journal_entry_title	@quest/ground/npe_commando:task11_journal_entry_description	1			0	12		elevator_down	0							1		1			1	dungeon1	-110	29	150	tatooine	elevator	@quest/ground/npe_commando:task11_waypoint_name	0	0.0	0.0	0.0		npe_elevator_atrium_down	0			0		0	0	0	0																	
quest.task.ground.wait_for_signal	@quest/ground/npe_commando:task12_journal_entry_title	@quest/ground/npe_commando:task12_journal_entry_description	1			0	13		final_return	0							1		1			1	dungeon1	-185.699996948242	0.600000023841858	122	yavin4	cloninglab	@quest/ground/npe_commando:task12_waypoint_name	0	0.0	0.0	0.0		final_return	0			0		0	0	0	0																	
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																												
