ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	RADIUS	CHANCE_TO_SKIP	CREATURE_TYPE	MIN_COUNT	MAX_COUNT	MIN_DISTANCE	MAX_DISTANCE	MIN_LEVEL_DIFFERENCE	MAX_LEVEL_DIFFERENCE	GROUND_START_COMBAT	BUFF_NAME	DISMOUNT_PLAYER	MOUNT_BLOCK_DURATION	SHIP_TYPE	SHIP_MIN_COUNT	SHIP_MAX_COUNT	SPACE_START_COMBAT	HYPERSPACE_BLOCK_DURATION	MIN_START_DELAY	MAX_START_DELAY	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	i	i	i	i	b	s	b	i	s	i	i	b	i	i	i	s	i	s	i	i	i	i	s	s	s	s	i	i
quest.task.ground.nothing			0			0	1,3,9,10			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																														
quest.task.ground.wait_for_tasks	@quest/ground/naboo_24_gungan_power_grab_02a:task01_journal_entry_title	@quest/ground/naboo_24_gungan_power_grab_02a:task01_journal_entry_description	1			0	2		naboo_24_gungan_power_grab_02a_wait	0				0	none	none				1		1			1	naboo	-4759	6	3582			@quest/ground/naboo_24_gungan_power_grab_02a:task01_waypoint_name	0	0.0	0.0	0.0		naboo_24_gungan_power_grab_02a	naboo_24_gungan_power_grab_02a_kaadu_attitude	@quest/ground/naboo_24_gungan_power_grab_02a:task01_task_display_string_1	naboo_24_gungan_power_grab_02a	naboo_24_gungan_power_grab_02a_sapper	@quest/ground/naboo_24_gungan_power_grab_02a:task01_task_display_string_2	naboo_24_gungan_power_grab_02a	naboo_24_gungan_power_grab_02a_patrol_04	@quest/ground/naboo_24_gungan_power_grab_02a:task01_task_display_string_3										0																																										
quest.task.ground.wait_for_signal	@quest/ground/naboo_24_gungan_power_grab_02a:task02_journal_entry_title	@quest/ground/naboo_24_gungan_power_grab_02a:task02_journal_entry_description	1			0			naboo_24_gungan_power_grab_02a_return	0				0	complete	none				1		1			1	naboo	-4759	6	3582			@quest/ground/naboo_24_gungan_power_grab_02a:task02_waypoint_name	0	0.0	0.0	0.0																				0	naboo_24_gungan_power_grab_02_jak_busy_work_done	0			0		0	0	0																																	
quest.task.ground.go_to_location	@quest/ground/naboo_24_gungan_power_grab_02a:task03_journal_entry_title	@quest/ground/naboo_24_gungan_power_grab_02a:task03_journal_entry_description	1			0	4		naboo_24_gungan_power_grab_02a_patrol_01	0				0	none	none				1		1			1	naboo	-4635	7	3764			@quest/ground/naboo_24_gungan_power_grab_02a:task03_waypoint_name	0	0.0	0.0	0.0																				0										10.0																																
quest.task.ground.go_to_location	@quest/ground/naboo_24_gungan_power_grab_02a:task04_journal_entry_title	@quest/ground/naboo_24_gungan_power_grab_02a:task04_journal_entry_description	1			0	5,8		naboo_24_gungan_power_grab_02a_patrol_02	0				0	none	none				1		1			1	naboo	-4675	14	3260			@quest/ground/naboo_24_gungan_power_grab_02a:task04_waypoint_name	0	0.0	0.0	0.0																				0										10.0																																
quest.task.ground.go_to_location	@quest/ground/naboo_24_gungan_power_grab_02a:task05_journal_entry_title	@quest/ground/naboo_24_gungan_power_grab_02a:task05_journal_entry_description	1			0	6		naboo_24_gungan_power_grab_02a_patrol_03	0				0	none	none				1		1			1	naboo	-4945	11	3044			@quest/ground/naboo_24_gungan_power_grab_02a:task05_waypoint_name	0	0.0	0.0	0.0																				0										10.0																																
quest.task.ground.go_to_location	@quest/ground/naboo_24_gungan_power_grab_02a:task06_journal_entry_title	@quest/ground/naboo_24_gungan_power_grab_02a:task06_journal_entry_description	1			0	7		naboo_24_gungan_power_grab_02a_patrol_04	0				0	none	none				1		1			1	naboo	-5095	4	3077			@quest/ground/naboo_24_gungan_power_grab_02a:task06_waypoint_name	0	0.0	0.0	0.0																				0										10.0																																
quest.task.ground.spawn			0			0			naboo_24_gungan_power_grab_02a_drennic_attack	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															10	naboo_peacewar_drennic_hunter	1	2	10	25	1	0	1		1	10		1	0	0	0	3	15													
quest.task.ground.spawn			0			0			naboo_24_gungan_power_grab_02a_bahwray_attack	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															10	naboo_bahwray_bhois_brute	1	3	5	50	2	0	1		1	5		1	0	0	0	3	15													
