ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	i	i
quest.task.ground.nothing			0			0	1			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																		
quest.task.ground.wait_for_signal	@quest/ground/mtp_hideout_retrieve_delivery:task01_journal_entry_title	@quest/ground/mtp_hideout_retrieve_delivery:task01_journal_entry_description	1			0	2		useComlink	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		shuttleTooHotCommSignal	0			0		0	0	0	0							
quest.task.ground.comm_player			0			0	3		comTooHot	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/mtp_hideout_retrieve_delivery:task02_comm_message_text	/object/mobile/space_comm_ep3_droid_pilot.iff					
quest.task.ground.destroy_multi	@quest/ground/mtp_hideout_retrieve_delivery:task03_journal_entry_title	@quest/ground/mtp_hideout_retrieve_delivery:task03_journal_entry_description	1			0	4		killRagtags	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0			mtp_delivery_ambush_ragtag_blackjack			2	0
quest.task.ground.comm_player			0			0	5		okCallShuttle	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/mtp_hideout_retrieve_delivery:task04_comm_message_text	/object/mobile/space_comm_ep3_droid_pilot.iff					
quest.task.ground.wait_for_signal	@quest/ground/mtp_hideout_retrieve_delivery:task05_journal_entry_title	@quest/ground/mtp_hideout_retrieve_delivery:task05_journal_entry_description	1			0	6		shuttleLanded	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		shuttleLandedDelivery	0			0		0	0	0	0							
quest.task.ground.comm_player			0			0	7		landingNoteComm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/mtp_hideout_retrieve_delivery:task06_comm_message_text	/object/mobile/space_comm_ep3_droid_pilot.iff					
quest.task.ground.wait_for_signal	@quest/ground/mtp_hideout_retrieve_delivery:task07_journal_entry_title	@quest/ground/mtp_hideout_retrieve_delivery:task07_journal_entry_description	1			0	8		speakSmuggler	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		smugglerSpoken	0			0		0	0	0	0							
quest.task.ground.wait_for_signal	@quest/ground/mtp_hideout_retrieve_delivery:task08_journal_entry_title	@quest/ground/mtp_hideout_retrieve_delivery:task08_journal_entry_description	1			0			seeArmorer	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		spokenToArmorer	0			0		0	0	0	0							
