ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	RADIUS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	i	i	i	i	i	i	s	i	i	i	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest5:task00_journal_entry_title	@quest/ground/c_newbie_quest5:task00_journal_entry_description	1			0	1		shuttlestep1	1							1		1	1	tatooine	3420	0.0	-4651	@quest/ground/c_newbie_quest5:task00_waypoint_name	10.0																																							
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest5:task01_journal_entry_title	@quest/ground/c_newbie_quest5:task01_journal_entry_description	1			0	2		shuttlestep2	1							1		1	0	tatooine	0.0	0.0	0.0			@quest/ground/c_newbie_quest5:task01_message_box_title	@quest/ground/c_newbie_quest5:task01_message_box_text		-1	-1	-1	-1																																
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest5:task02_journal_entry_title	@quest/ground/c_newbie_quest5:task02_journal_entry_description	1			0	3		shuttlestep3	1							1		1	0	tatooine	0.0	0.0	0.0			@quest/ground/c_newbie_quest5:task02_message_box_title	@quest/ground/c_newbie_quest5:task02_message_box_text		-1	-1	-1	-1																																
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest5:task03_journal_entry_title	@quest/ground/c_newbie_quest5:task03_journal_entry_description	1			0	4,6		shuttlestep4	1							1		1	1	tatooine	-2894	0.0	2121	@quest/ground/c_newbie_quest5:task03_waypoint_name	10.0																																							
quest.task.ground.timer			0			0	5			0							1		1	0	tatooine	0.0	0.0	0.0										35	40																														
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0												tusken_raider_zealot	2	3	5	0.0	0.0																								
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest5:task06_journal_entry_title	@quest/ground/c_newbie_quest5:task06_journal_entry_description	1			0	7		associatestep	0							1		1	1	tatooine	-2908	0.0	2179	@quest/ground/c_newbie_quest5:task06_waypoint_name																	c_newbie_associatestep	0			0		0	0	0															
quest.task.ground.reward	@quest/ground/c_newbie_quest5:task07_journal_entry_title	@quest/ground/c_newbie_quest5:task07_journal_entry_description	1			0	8		associatereward	1							1		1	0	tatooine	0.0	0.0	0.0													1															0	Rebel	0	500			1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest5:task08_journal_entry_title	@quest/ground/c_newbie_quest5:task08_journal_entry_description	1			0	9		laststep	1							1		1	1	tatooine	3484	0.0	-4808	@quest/ground/c_newbie_quest5:task08_waypoint_name																	c_newbie_laststep	0			0		0	0	0															
quest.task.ground.reward	@quest/ground/c_newbie_quest5:task09_journal_entry_title	@quest/ground/c_newbie_quest5:task09_journal_entry_description	1			0	10			1							1		1	0	tatooine	0.0	0.0	0.0													1															0	Rebel	0	1000			1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.complete_quest			0			0				0							1		1	0	tatooine	0.0	0.0	0.0																																									
