ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	TIMER_AMOUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	i	i	i	i	i	i
quest.task.ground.nothing			0			0	1,2,3,4,5,6			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task01_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task01_journal_entry_description	1			0			load_transport_one	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		aakuan_assassin			A Rebel pilot has delivered supplies to Transport One	4	100	0	0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task02_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task02_journal_entry_description	1			0			load_transport_two	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		adept_jinda_shaman			A Rebel pilot has delivered supplies to Transport Two	4	100	0	0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task03_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task03_journal_entry_description	1			0			load_transport_three	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		adept_panshee_shaman			A Rebel pilot has delivered supplies to Transport Three	4	100	0	0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task04_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task04_journal_entry_description	1			0			load_transport_four	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		afarathu_cult_bodyguard			A Rebel pilot has delivered supplies to Transport Four	4	100	0	0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task05_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task05_journal_entry_description	1			0			load_transport_five	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		afarathu_cult_follower			A Rebel pilot has delivered supplies to Transport Five	4	100	0	0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task06_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task06_journal_entry_description	1			0	7		minor_transports_victory	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		zucca_boar			A Transport has safely taken off and is away	1	100	0	0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task07_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task07_journal_entry_description	1			0	8		2nd_transport_away	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		zucca_boar			Another Transport has safely taken off and is away	1	100	0	0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task08_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task08_journal_entry_description	1			0	9		3rd_transport_away	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		zucca_boar			A Third Transport has safely taken off and is away	1	100	0	0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task09_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task09_journal_entry_description	1			0	10		4th_transport_away	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		zucca_boar			A Fourth Transport has safely taken off and is away	1	100	0	0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_evac:task10_journal_entry_title	@quest/ground/heroic_echo_rebel_evac:task10_journal_entry_description	1			0			major_transports_victory	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		zucca_boar			The Final Transport has safely taken off and is away	1	100	0	0	0	0
