ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s
quest.task.ground.wait_for_signal	@quest/ground/npe_spy_try:task00_journal_entry_title	@quest/ground/npe_spy_try:task00_journal_entry_description	1			0	1			0							1		1	1	dungeon1	-110	-1	150	yavin4	elevator	@quest/ground/npe_spy_try:task00_waypoint_name	npe_elevator_main_down	0			0		0	0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/npe_spy_try:task01_journal_entry_title	@quest/ground/npe_spy_try:task01_journal_entry_description	1			0	2		generator	0							1		1	1	dungeon1	-109	-29	170	yavin4	cargobay2	@quest/ground/npe_spy_try:task01_waypoint_name	generator	0			0		0	0	0	0		
quest.task.ground.comm_player			0			0	3		getDroid	0							1		1	0	tatooine	0.0	0.0	0.0														@quest/ground/npe_spy_try:task02_comm_message_text	object/mobile/dressed_npe_spy_trainer.iff
quest.task.ground.wait_for_signal	@quest/ground/npe_spy_try:task03_journal_entry_title	@quest/ground/npe_spy_try:task03_journal_entry_description	1			0	4		placePart	0							1		1	1	dungeon1	-144	-31	151	yavin4	droidroom	@quest/ground/npe_spy_try:task03_waypoint_name	placePart	0			0		0	0	0	0		
quest.task.ground.comm_player			0			0	5		doDroidStuff	0							1		1	0	tatooine	0.0	0.0	0.0														@quest/ground/npe_spy_try:task04_comm_message_text	object/mobile/dressed_npe_spy_trainer.iff
quest.task.ground.wait_for_signal	@quest/ground/npe_spy_try:task05_journal_entry_title	@quest/ground/npe_spy_try:task05_journal_entry_description	1			0	6		triggerVolume	0							1		1	1	dungeon1	-196	-31	160	yavin4	16a	@quest/ground/npe_spy_try:task05_waypoint_name	stopEscort	0			0		0	0	0	0		
quest.task.ground.comm_player			0			0	7		plantSplice	0							1		1	0	tatooine	0.0	0.0	0.0														@quest/ground/npe_spy_try:task06_comm_message_text	object/mobile/dressed_npe_spy_trainer.iff
quest.task.ground.wait_for_signal	@quest/ground/npe_spy_try:task07_journal_entry_title	@quest/ground/npe_spy_try:task07_journal_entry_description	1			0	8		doIt	0							1		1	1	dungeon1	-196	-31	160	yavin4	16a	@quest/ground/npe_spy_try:task07_waypoint_name	doIt	0			0		0	0	0	0		
quest.task.ground.comm_player			0			0	9		yay	0							0		1	0	tatooine	0.0	0.0	0.0														@quest/ground/npe_spy_try:task08_comm_message_text	object/mobile/dressed_npe_spy_trainer.iff
quest.task.ground.wait_for_signal	@quest/ground/npe_spy_try:task09_journal_entry_title	@quest/ground/npe_spy_try:task09_journal_entry_description	1			0	10		elevatorUp	0							1		1	1	dungeon1	-109.900001525879	-31	150	yavin4	elevator	@quest/ground/npe_spy_try:task09_waypoint_name	npe_elevator_droid_up	0			0		0	0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/npe_spy_try:task10_journal_entry_title	@quest/ground/npe_spy_try:task10_journal_entry_description	1			0	11		spy	0							1		1	1	dungeon1	-142	0.0	152	yavin4	cantina	@quest/ground/npe_spy_try:task10_waypoint_name	reward1	0			0		0	0	0	0		
quest.task.ground.complete_quest			0			0			imDone	0							1		1	0	tatooine	0.0	0.0	0.0															
