PREREQUISITE_TASKS	EXCLUSION_TASKS	ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	IS_VISIBLE	SHOW_SYSTEM_MESSAGES	ALLOW_REPEATS	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	RADIUS	SERVER_TEMPLATE	SIGNAL_NAME	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	s	s	s	s	s	b	b	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	i	i	s	i	i	i	s	s	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
		quest.task.ground.go_to_location	@quest/ground/c_newbie_melee_quest_3:task00_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task00_journal_entry_description	1,3		meetClient	1	1	0								1	tatooine	3223	1	-5100	@quest/ground/c_newbie_melee_quest_3:task00_waypoint_name	5																									
		quest.task.ground.escort				2	escortTask	0	0	0								0	tatooine	3223	4	-5100			beginner_brawler_quest_client_3																								
		quest.task.ground.clear_quest	@quest/ground/c_newbie_melee_quest_3:task02_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task02_journal_entry_description				1	1	0								0	tatooine	0.0	0.0	0.0																											
		quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_3:task03_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task03_journal_entry_description	4		talkClient1	1	0	0								0	tatooine	0.0	0.0	0.0				talkedClient1																							
		quest.task.ground.go_to_location	@quest/ground/c_newbie_melee_quest_3:task04_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task04_journal_entry_description	5		onEscort1	1	0	0								1	tatooine	3193	4	-5149	@quest/ground/c_newbie_melee_quest_3:task04_waypoint_name	10.0																									
		quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_3:task05_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task05_journal_entry_description	6			1	0	0								0	tatooine	0.0	0.0	0.0				talkedClient2																							
		quest.task.ground.timer			7		timer1	0	0	0								0	tatooine	0.0	0.0	0.0					10	20																					
		quest.task.ground.encounter	@quest/ground/c_newbie_melee_quest_3:task07_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task07_journal_entry_description	8			1	0	0								0	tatooine	0.0	0.0	0.0							tusken_raider_scout_newbie	1	10	40	0.0	0.0															
		quest.task.ground.timer			9			0	0	0								0	tatooine	0.0	0.0	0.0					10	30																					
		quest.task.ground.encounter			10		encounter2	0	0	0								0	tatooine	0.0	0.0	0.0							tusken_raider_zealot	2	15	30	0.0	0.0															
		quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_3:task10_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task10_journal_entry_description	11			1	1	0								0	tatooine	0.0	0.0	0.0				talkedClient3																							
		quest.task.ground.go_to_location	@quest/ground/c_newbie_melee_quest_3:task11_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task11_journal_entry_description	12		onEscort2	1	0	0								1	tatooine	3223	4	-5140	@quest/ground/c_newbie_melee_quest_3:task11_waypoint_name	10.0																									
		quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_3:task12_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task12_journal_entry_description	13			1	1	0								0	tatooine	0.0	0.0	0.0				escortComplete																							
		quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_3:task13_journal_entry_title	@quest/ground/c_newbie_melee_quest_3:task13_journal_entry_description	14		doneMission3	1	0	0								0	tatooine	0.0	0.0	0.0				reward3																							
		quest.task.ground.reward			15			0	1	0								0	tatooine	0.0	0.0	0.0								1					combat_meleespecialize_unarmed	300	Rebel	0	1500			1	0.1	0.1	0.1	0.1		1	0.1
		quest.task.ground.complete_quest						0	0	0								0	tatooine	0.0	0.0	0.0																											
