ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	RADIUS	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	i	i	i	i	s	i	s	i	s	i	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.show_message_box			0			0	1,3,5			0	sound/mus_mustafar_quest_exception.snd						1		1	0	tatooine	0.0	0.0	0.0				@quest/ground/som_kenobi_symbiosis_1:task00_message_box_title	@quest/ground/som_kenobi_symbiosis_1:task00_message_box_text		-1	-1	-1	-1																																																	
quest.task.ground.retrieve_item			0			0	2		examine	1							1		1	0	tatooine	0.0	0.0	0.0											object/mobile/som/som_kenobi_treasure_hunter_corpse_02.iff	1	@quest/ground/som_kenobi_symbiosis_1:task01_item_name	100	@quest/ground/som_kenobi_symbiosis_1:task01_retrieve_menu_text	0																																											
quest.task.ground.encounter			0			0				1							1		1	0	tatooine	0.0	0.0	0.0																0	som_kenobi_alien_parasite	2	1	2	0.0	0.0																																					
quest.task.ground.retrieve_item			0			0	4		examine	1							1		1	0	tatooine	0.0	0.0	0.0											object/mobile/som/som_kenobi_treasure_hunter_corpse_01.iff	1	@quest/ground/som_kenobi_symbiosis_1:task03_item_name	100	@quest/ground/som_kenobi_symbiosis_1:task03_retrieve_menu_text	0																																											
quest.task.ground.encounter			0			0				1							1		1	0	tatooine	0.0	0.0	0.0																0	som_kenobi_alien_parasite	2	1	2	0.0	0.0																																					
quest.task.ground.wait_for_tasks	@quest/ground/som_kenobi_symbiosis_1:task05_journal_entry_title	@quest/ground/som_kenobi_symbiosis_1:task05_journal_entry_description	1			0	6			1							1		1	0	tatooine	0.0	0.0	0.0																0							quest/som_kenobi_symbiosis_1	examine																																			
quest.task.ground.show_message_box			0			0	7			0							1		1	0	tatooine	0.0	0.0	0.0				@quest/ground/som_kenobi_symbiosis_1:task06_message_box_title	@quest/ground/som_kenobi_symbiosis_1:task06_message_box_text		60	40	-1	-1																																																	
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_symbiosis_1:task07_journal_entry_title	@quest/ground/som_kenobi_symbiosis_1:task07_journal_entry_description	1			0	8			1							1		1	0	tatooine	0.0	0.0	0.0											object/tangible/quest/quest_start/som_kenobi_symbiosis_fluid_container.iff	1	@quest/ground/som_kenobi_symbiosis_1:task07_item_name	100	@quest/ground/som_kenobi_symbiosis_1:task07_retrieve_menu_text	0																																											
quest.task.ground.show_message_box			0			0	9			0							1		1	0	tatooine	0.0	0.0	0.0				@quest/ground/som_kenobi_symbiosis_1:task08_message_box_title	@quest/ground/som_kenobi_symbiosis_1:task08_message_box_text		60	40	-1	-1																																																	
