ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	i	i	s	i	i	i	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	s	s	s	i	s	i	i
quest.task.ground.go_to_location	@quest/ground/c_sink_imp_v2:task00_journal_entry_title	@quest/ground/c_sink_imp_v2:task00_journal_entry_description	1			1	1,3		gotocrash	1							1		1			1	talus	-2449	0.0	3843			@quest/ground/c_sink_imp_v2:task00_waypoint_name	0	0.0	0.0	0.0		10.0	0																																										
quest.task.ground.timer	@quest/ground/c_sink_imp_v2:task01_journal_entry_title	@quest/ground/c_sink_imp_v2:task01_journal_entry_description	0			1	2		timer	0							1		1			0		0.0	0.0	0.0				0	0.0	0.0	0.0				10	10																																								
quest.task.ground.encounter	@quest/ground/c_sink_imp_v2:task02_journal_entry_title	@quest/ground/c_sink_imp_v2:task02_journal_entry_description	0			1			ambush	0							1		1			0		0.0	0.0	0.0				0	0.0	0.0	0.0			0			binayre_scalawag	5	5	8	0.0	0.0																																		
quest.task.ground.wait_for_signal	@quest/ground/c_sink_imp_v2:task03_journal_entry_title	@quest/ground/c_sink_imp_v2:task03_journal_entry_description	1			1	4		safesignal	1							1		1			1	talus	-2178	20	2275			@quest/ground/c_sink_imp_v2:task03_waypoint_name	0	0.0	0.0	0.0			0									c_sink_imp_safe	0			0		0	0	0																									
quest.task.ground.reward	@quest/ground/c_sink_imp_v2:task04_journal_entry_title	@quest/ground/c_sink_imp_v2:task04_journal_entry_description	1			1	5,6,7		reward1	1							1		1			0		0.0	0.0	0.0				0	0.0	0.0	0.0							1															0	Imperial	25	1000		1			1	0.1	0.1	0.1	0.1		1	1								
quest.task.ground.destroy_multi	@quest/ground/c_sink_imp_v2:task05_journal_entry_title	@quest/ground/c_sink_imp_v2:task05_journal_entry_description	1			1			kill	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0				15																																	binayre		0			
quest.task.ground.destroy_multi_and_loot	@quest/ground/c_sink_imp_v2:task06_journal_entry_title	@quest/ground/c_sink_imp_v2:task06_journal_entry_description	1			1			killloot	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																																					flail		0	A Flail Symbol	10	75
quest.task.ground.wait_for_signal	@quest/ground/c_sink_imp_v2:task07_journal_entry_title	@quest/ground/c_sink_imp_v2:task07_journal_entry_description	1			1	8		spacesignal	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0									c_sink_imp_gospace	0			0		0	0	0																									
quest.task.ground.complete_quest	@quest/ground/c_sink_imp_v2:task08_journal_entry_title	@quest/ground/c_sink_imp_v2:task08_journal_entry_description	1			1				1							0		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																													
