ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	s	i	i
quest.task.ground.go_to_location	@quest/ground/camp_epsilon_defense_02:task00_journal_entry_title	@quest/ground/camp_epsilon_defense_02:task00_journal_entry_description	1			0	1		goToPost	0				0	none	none				1		1			1	dathomir	-7420	570	-7347			@quest/ground/camp_epsilon_defense_02:task00_waypoint_name	0	0.0	0.0	0.0		10	0													
quest.task.ground.wait_for_signal	@quest/ground/camp_epsilon_defense_02:task01_journal_entry_title	@quest/ground/camp_epsilon_defense_02:task01_journal_entry_description	1			0	2,5		waitingAtPost	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	hasWaitedAtPost	0			0		0	0	0				
quest.task.ground.wait_for_signal			0			0	3		failSignal	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	campDefenseFailed	0			0		0	0	0				
quest.task.ground.comm_player			0			0	4		fromGuard	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													@quest/ground/camp_epsilon_defense_02:task03_comm_message_text	object/mobile/outbreak_prisoner_zsu_val.iff		
quest.task.ground.clear_quest			0			0			clear	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																
quest.task.ground.timer	@quest/ground/camp_epsilon_defense_02:task05_journal_entry_title	@quest/ground/camp_epsilon_defense_02:task05_journal_entry_description	1			0	6,10		surviveTimer	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0															60	60
quest.task.ground.wait_for_signal	@quest/ground/camp_epsilon_defense_02:task06_journal_entry_title	@quest/ground/camp_epsilon_defense_02:task06_journal_entry_description	1			0	7		waitToCleanUpAll	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	hasKilledWave	0			0		0	0	0				
quest.task.ground.comm_player			0			0	8		fromGuard	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													@quest/ground/camp_epsilon_defense_02:task07_comm_message_text	object/mobile/outbreak_prisoner_zsu_val.iff		
quest.task.ground.wait_for_signal	@quest/ground/camp_epsilon_defense_02:task08_journal_entry_title	@quest/ground/camp_epsilon_defense_02:task08_journal_entry_description	1			0	9		collectRewardEpsilon	0				0	none	none				1		1			1	dathomir	-7448	570	-7352			@quest/ground/camp_epsilon_defense_02:task08_waypoint_name	0	0.0	0.0	0.0			0	hasCompletedEpsilon	0			0		0	0	0				
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																
quest.task.ground.wait_for_signal			0			0	11		failSignal	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	campDefenseFailed	0			0		0	0	0				
quest.task.ground.comm_player			0			0	12		fromGuard	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													@quest/ground/camp_epsilon_defense_02:task11_comm_message_text	object/mobile/outbreak_prisoner_zsu_val.iff		
quest.task.ground.clear_quest			0			0			clear	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																
