ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	s	i	i	i	s	s	s	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi	@quest/ground/typho_police_one:task00_journal_entry_title	@quest/ground/typho_police_one:task00_journal_entry_description	1			0	1		maulerSiege	1							1		1			1	naboo	2850	95	1083			@quest/ground/typho_police_one:task00_waypoint_name		mauler		15	0	0														
quest.task.ground.comm_player			0			0	2			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/typho_police_one:task01_comm_message_text	object/mobile/typho.iff												
quest.task.ground.destroy_multi_and_loot	@quest/ground/typho_police_one:task02_journal_entry_title	@quest/ground/typho_police_one:task02_journal_entry_description	1			0	3		trackDownWeapons	1							1		1			1	naboo	2543	0.0	1903			@quest/ground/typho_police_one:task02_waypoint_name	mauler_champion				0	0			Stolen Experimental Weapon	5	100									
quest.task.ground.comm_player			0			0	4			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/typho_police_one:task03_comm_message_text	object/mobile/typho.iff												
quest.task.ground.destroy_multi_and_loot	@quest/ground/typho_police_one:task04_journal_entry_title	@quest/ground/typho_police_one:task04_journal_entry_description	1			0	5		gatherMaulerIntel	1							1		1			1	naboo	2271	0.0	1909			@quest/ground/typho_police_one:task04_waypoint_name		mauler			0	0			Encoded Mauler Communique	7	100									
quest.task.ground.comm_player			0			0	6			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/typho_police_one:task05_comm_message_text	object/mobile/typho.iff												
quest.task.ground.destroy_multi_and_loot	@quest/ground/typho_police_one:task06_journal_entry_title	@quest/ground/typho_police_one:task06_journal_entry_description	1			0	7		findEncoder	1							1		1			1	naboo	2850	95	1083			@quest/ground/typho_police_one:task06_waypoint_name	mauler_lord				0	0			Mauler Encoding Device	1	45									
quest.task.ground.comm_player			0			0	8			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/typho_police_one:task07_comm_message_text	object/mobile/typho.iff												
quest.task.ground.wait_for_signal	@quest/ground/typho_police_one:task08_journal_entry_title	@quest/ground/typho_police_one:task08_journal_entry_description	1			0	9			0							1		1			1	naboo	-5495	14	4477			@quest/ground/typho_police_one:task08_waypoint_name						0						decodedMaulerMessages	0			0		0	0	0
quest.task.ground.comm_player			0			0	10			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/typho_police_one:task09_comm_message_text	object/mobile/typho.iff												
quest.task.ground.destroy_multi	@quest/ground/typho_police_one:task10_journal_entry_title	@quest/ground/typho_police_one:task10_journal_entry_description	1			0	11		killMaulerUsurper	0							1		1			1	naboo	2850	95	1083			@quest/ground/typho_police_one:task10_waypoint_name	mauler_usurper			1	0	0														
quest.task.ground.comm_player			0			0	12			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/typho_police_one:task11_comm_message_text	object/mobile/typho.iff												
quest.task.ground.wait_for_signal	@quest/ground/typho_police_one:task12_journal_entry_title	@quest/ground/typho_police_one:task12_journal_entry_description	1			0			waitForTypho	0							1		1			1	naboo	1791	12	2712			@quest/ground/typho_police_one:task12_waypoint_name						0						completedPoliceOne	0			0		0	0	0
