TEMPLATE	SPEED	MIN_DAM	MAX_DAM	MID_RANGE	ZERO_MOD	MID_MOD	MAX_MOD	WOUND_CHANCE	DAMAGE_RADIUS	HEALTH_COST	ACTION_COST	MIND_COST
s	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]
object/tangible/powerup/weapon/ranged_power.iff				Overpowering	Searing							Compensation
object/tangible/powerup/weapon/ranged_scope.iff	Targeting							Pin-Pointing			Tracking	
object/tangible/powerup/weapon/ranged_grip.iff		Aiming					Steadying	Reckoning		Recoil-Deadening		
object/tangible/powerup/weapon/ranged_stock.iff	Loading		Dissipation			Accuracy					Cushioning	
object/tangible/powerup/weapon/ranged_muzzle.iff		Sighting			Flaring		Focusing			Braking		
object/tangible/powerup/weapon/ranged_barrel.iff			Concentration	Condensing		Alignment						Dampening
object/tangible/powerup/weapon/thrown_wiring.iff								Shrapnel				
object/tangible/powerup/weapon/thrown_explosive.iff								Shearing				
object/tangible/powerup/weapon/mine_explosive.iff								Bomblet-Generating				
object/tangible/powerup/weapon/melee_generic.iff	Control-Enhancement	Precision	Refining			Accuracy	Steadying	Wounding				
object/tangible/powerup/weapon/melee_lightsaber.iff	Control-Enhancement	Precision	Tuning			Accuracy	Steadying	Conduction				
