TEMPLATE	SPEED	MIN_DAM	MAX_DAM	MID_RANGE	ZERO_MOD	MID_MOD	MAX_MOD	WOUND_CHANCE	DAMAGE_RADIUS	HEALTH_COST	ACTION_COST	MIND_COST
s	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]
object/tangible/powerup/weapon/ranged_power.iff	Quick-Charge	Short-Circuited	Hot-Wired								Tweaked	
object/tangible/powerup/weapon/ranged_scope.iff		Precision				Ranged	Calibrated					Powered
object/tangible/powerup/weapon/ranged_grip.iff	Hair-Trigger			Ergonomic		Fitted					Lightened	
object/tangible/powerup/weapon/ranged_stock.iff				Balanced			Anti-Jitter			Reactive		
object/tangible/powerup/weapon/ranged_muzzle.iff			Tuned		Scattering			Polished				Muffled
object/tangible/powerup/weapon/ranged_barrel.iff					Smoothed			Taper-Bored		Ported		
object/tangible/powerup/weapon/thrown_wiring.iff	Short-Fuse		Core-Alignment									
object/tangible/powerup/weapon/thrown_explosive.iff		Ionizing							Compressed			
object/tangible/powerup/weapon/mine_explosive.iff		Directional	Clustered						Concussion			
object/tangible/powerup/weapon/melee_generic.iff				Extending	Barbing					Balancing	Lightening	Compensating
object/tangible/powerup/weapon/melee_lightsaber.iff				Telescoping	Fine Lens					Gyro-Balancing	Miniaturized	Stabilizing
