crafting_artisan	outdoors_scout	social_entertainer	combat_marksman	combat_brawler	science_medic	jedi_padawan	all_professions
s	s	s	s	s	s	s	s
object/weapon/melee/knife/knife_survival.iff	object/weapon/ranged/pistol/pistol_cdef.iff	object/weapon/melee/knife/knife_survival.iff	object/weapon/ranged/pistol/pistol_cdef.iff	object/weapon/melee/knife/knife_survival.iff	object/weapon/melee/knife/knife_survival.iff	object/tangible/crafting/station/generic_tool.iff	object/weapon/ranged/pistol/pistol_cdef.iff
object/tangible/survey_tool/survey_tool_lumber.iff	object/tangible/scout/camp/camp_basic.iff	object/tangible/instrument/slitherhorn.iff	object/tangible/ship/crafted/repair/repair_kit_ship.iff	object/tangible/ship/crafted/repair/repair_kit_ship.iff	object/tangible/crafting/station/generic_tool.iff	object/tangible/survey_tool/survey_tool_liquid.iff	object/weapon/ranged/carbine/carbine_cdef.iff
object/tangible/survey_tool/survey_tool_mineral.iff	object/tangible/scout/trap/trap_melee_def_1.iff	object/weapon/ranged/pistol/pistol_cdef.iff	object/weapon/ranged/carbine/carbine_cdef.iff	object/weapon/melee/polearm/lance_staff_wood_s1.iff	object/weapon/ranged/pistol/pistol_cdef.iff	object/tangible/survey_tool/survey_tool_mineral.iff	object/weapon/ranged/rifle/rifle_cdef.iff
object/tangible/crafting/station/generic_tool.iff	object/tangible/crafting/station/generic_tool.iff	object/tangible/ship/crafted/repair/repair_kit_ship.iff	object/weapon/ranged/rifle/rifle_cdef.iff	object/weapon/melee/axe/axe_heavy_duty.iff	object/tangible/ship/crafted/repair/repair_kit_ship.iff	object/tangible/ship/crafted/repair/repair_kit_ship.iff	object/weapon/melee/knife/knife_survival.iff
object/weapon/ranged/pistol/pistol_cdef.iff	object/tangible/ship/crafted/repair/repair_kit_ship.iff	object/tangible/medicine/instant_stimpack/stimpack_noob.iff	object/tangible/medicine/instant_stimpack/stimpack_noob.iff	object/tangible/medicine/instant_stimpack/stimpack_noob.iff	object/tangible/medicine/instant_stimpack/stimpack_noob.iff	object/tangible/medicine/instant_stimpack/stimpack_noob.iff	object/weapon/melee/polearm/lance_staff_wood_s1.iff
object/tangible/ship/crafted/repair/repair_kit_ship.iff	object/tangible/medicine/instant_stimpack/stimpack_noob.iff						object/weapon/melee/axe/axe_heavy_duty.iff
object/tangible/medicine/instant_stimpack/stimpack_noob.iff							object/tangible/ship/crafted/repair/repair_kit_ship.iff
							object/tangible/survey_tool/survey_tool_lumber.iff
							object/tangible/survey_tool/survey_tool_mineral.iff
							object/tangible/crafting/station/generic_tool.iff
							object/tangible/scout/camp/camp_basic.iff
							object/tangible/scout/trap/trap_melee_def_1.iff
							object/tangible/instrument/slitherhorn.iff
							object/tangible/medicine/instant_stimpack/stimpack_noob.iff
