TEMPLATE	IDX	X	Y	Z
s	I	f	f	f
object/building/tatooine/filler_building_tatt_style01_01.iff	0	17	0	3
object/building/tatooine/filler_building_tatt_style01_02.iff	0	-5	0	17
object/building/tatooine/filler_building_tatt_style01_03.iff	0	8	0	14
object/building/tatooine/filler_building_tatt_style01_04.iff	0	17	0	21
object/building/tatooine/filler_building_tatt_style01_05.iff	0	0	0	18
object/building/tatooine/filler_building_tatt_style01_06.iff	0	-7	0	13
object/building/tatooine/filler_building_tatt_style01_07.iff	0	4	0	21
object/building/tatooine/filler_building_tatt_style01_08.iff	0	-8	0	16
object/building/tatooine/filler_building_tatt_style01_09.iff	0	3	0	19
object/building/tatooine/filler_building_tatt_style01_10.iff	0	-3	0	21
object/building/tatooine/filler_building_tatt_style01_11.iff	0	-22	0	-9
object/building/tatooine/filler_building_block_64x16_style_01.iff	0	-15	0	6
object/building/tatooine/filler_building_block_64x16_style_01.iff	1	-2	0	-12
object/building/tatooine/filler_building_block_64x16_style_01.iff	2	39	0	-3
object/building/tatooine/filler_building_block_64x16_style_02.iff	0	-15	0	-12
object/building/tatooine/filler_building_block_64x16_style_02.iff	1	15	0	-11
object/building/tatooine/filler_building_block_64x16_style_02.iff	2	17	0	12
object/building/tatooine/filler_building_block_64x32_style_01.iff	0	11	0	17
object/building/tatooine/filler_building_block_64x32_style_01.iff	1	-11	0	15
object/building/tatooine/filler_building_block_64x32_style_02.iff	0	18	0	-18
object/building/tatooine/filler_building_block_64x32_style_02.iff	1	-10	0	14
object/building/tatooine/filler_building_slave_quarters_style_01.iff	0	-12	0	-9
object/building/tatooine/filler_building_slave_quarters_style_01.iff	1	-5	0	-11
object/building/tatooine/filler_building_slave_quarters_style_01.iff	2	2	0	-12
object/building/tatooine/filler_building_slave_quarters_style_01.iff	3	14	0	-9
