stringId	red	green	blue
s	i[255]	i[255]	i[255]
chat_channel	241	113	4
chat_channel_group	33	230	247
combat_generic	255	255	255
combat_other_hit_other	255	255	255
combat_other_hit_other_critical	255	255	255
combat_other_hit_other_glance	255	255	255
combat_other_hit_other_proc	255	255	255
combat_other_hit_you	243	15	15
combat_other_hit_you_critical	243	15	15
combat_other_hit_you_glance	243	15	15
combat_other_hit_you_proc	243	15	15
combat_other_miss_other	255	255	255
combat_other_miss_you	244	239	29
combat_out_of_range	167	13	13
combat_posture_change	167	13	13
combat_you_hit_other	80	241	17
combat_you_hit_other_critical	80	241	17
combat_you_hit_other_glance	33	230	247
combat_you_hit_other_proc	241	113	4
combat_you_miss_other	244	239	29
combat_medical	27	185	199
combat_buff	27	185	199
combat_debuff	241	113	4
emote	80	241	17
guild	80	241	17
city	80	241	17
matchmaking	248	123	152
online_status	244	239	29
social	80	241	17
spatial	255	255	255
system_message	255	255	255
tell	244	239	29
who_guild	33	230	247
who_planet	33	230	247
who_player_name	80	241	17
who_region	33	230	247
who_species	33	230	247
who_tags	255	255	255
who_title	244	239	29
