GENERATOR	TOWER	TURRET_SMALL	TURRET_MED	TURRET_LARGE	TURRET_ALL	MINING	DEBRIS	OTHER
s	s	s	s	s	s	s	s	s
object/static/installation/mockup_power_generator_photo_bio_style_1.iff	object/static/tatooine/antenna_tatt_style_1.iff	object/installation/turret/turret_block_sm.iff	object/installation/turret/turret_block_med.iff	object/installation/turret/turret_block_large.iff	object/installation/turret/turret_block_large.iff	object/static/installation/mockup_mining_gas_harvester_style_1.iff	object/static/structure/general/prp_junk_s1.iff	object/static/structure/general/debris_deathstar_conduit.iff
object/static/installation/mockup_power_generator_solar_style_1.iff	object/static/tatooine/antenna_tatt_style_2.iff	object/installation/turret/turret_dish_sm.iff	object/installation/turret/turret_tower_med.iff	object/installation/turret/turret_dish_large.iff	object/installation/turret/turret_dish_large.iff	object/static/installation/mockup_mining_liquid_harvester_style_1.iff	object/static/structure/general/prp_junk_s2.iff	object/static/structure/general/debris_deathstar_large_tube.iff
object/static/installation/mockup_power_generator_wind_style_1.iff		object/installation/turret/turret_tower_sm.iff		object/installation/turret/turret_tower_large.iff	object/installation/turret/turret_tower_large.iff	object/static/installation/mockup_mining_liquid_moisture_harvester.iff	object/static/structure/general/prp_junk_s6.iff	object/static/structure/general/debris_deathstar_small_tube.iff
					object/installation/turret/turret_block_med.iff	object/static/installation/mockup_mining_ore_harvester_style_1.iff	object/static/structure/general/prp_junk_s8.iff	object/static/structure/general/debris_deathstar_small_chunk.iff
					object/installation/turret/turret_tower_med.iff	object/static/installation/mockup_mining_ore_harvester_style_2.iff		object/static/structure/general/debris_deathstar_storage.iff
					object/installation/turret/turret_block_sm.iff			object/static/structure/general/debris_deathstar_tractorbeam.iff
					object/installation/turret/turret_dish_sm.iff			object/static/structure/general/debris_deathstar_turbolaser.iff
					object/installation/turret/turret_tower_sm.iff			object/static/structure/general/banner_rebel_style_01.iff
								object/static/structure/general/xwing.iff
