strTemplate	intSpawnLimit	intMinDifficulty	intMaxDifficulty	intWeighting	intSize	intNumToSpawn	strTemplateToSpawn	strLairType	strBuildingType
s	i	i	i	i	i	i	s	s	s
object/tangible/lair/npc_lair.iff	-1	15	20	15	25			tatooine_mutant_womprat_herd_neutral_none	
object/tangible/lair/npc_lair.iff	-1	15	20	15	25			tatooine_mutant_womprat_lair_neutral_small	
object/tangible/lair/npc_lair.iff	-1	15	20	15	25			tatooine_giant_worrt_herd_neutral_none	
object/tangible/lair/npc_lair.iff	-1	15	20	15	25			tatooine_feral_bantha_herd_neutral_none	
object/tangible/lair/npc_lair.iff	-1	15	20	15	25			tatooine_bull_bantha_lair_neutral_large	
object/tangible/lair/npc_lair.iff	-1	15	20	15	25			valarian_camp	
object/tangible/lair/npc_lair.iff	-1	15	20	15	25			tatooine_valarian_swooper_neutral_small_theater	
object/tangible/lair/npc_lair.iff	-1	15	20	15	25			tatooine_valarian_enforcer_neutral_medium_theater	
object/tangible/lair/npc_lair.iff	-1	15	20	15	25			valarian_swooper_camp	
object/tangible/lair/npc_lair.iff	1	15	20	15	25	1		elite_valarian_camp	
