strTemplate	intSpawnLimit	intMinDifficulty	intMaxDifficulty	intWeighting	intSize	intNumToSpawn	strTemplateToSpawn	strLairType	strBuildingType
s	i	i	i	i	i	i	s	s	s
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_moisture_settler_neutral_medium_theater	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_nomad_neutral_small_theater	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_trandosian_slaver_neutral_medium_theater	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			slaver_camp	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_dim_u_chapel_neutral_small_theater	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_dim_u_church_neutral_large_theater	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_moisture_thief_neutral_medium_theater	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_wandering_kitonak_neutral_none	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_cannibal_neutral_none	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_outcast_camp_neutral_small_theater	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_dewback_lesser_lair_neutral_small	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_dewback_lesser_neutral_none	
object/tangible/lair/npc_lair.iff	-1	10	15	15	25			tatooine_spice_fiend_neutral_small_theater	
