1429	7355	-5554	hutt_bomber_s01_tier1, hutt_bomber_s01_tier1, hutt_bomber_s01_tier1_tatooine, hutt_fighter_s01_tier1, hutt_fighter_s01_tier1, hutt_fighter_s01_tier1, hutt_fighter_s01_tier1, hutt_fighter_s01_tier1_tatooine
1752	-1248	532	bestine_pirate_tier1
2514	-1699	307	bestine_pirate_tier1
2406	-1187	165	bestine_pirate_tier1
-2876	-2741	-2927	hutt_fighter_s01_tier1, hutt_fighter_s01_tier1, hutt_starbomber, hutt_fighter_s01_tier1_tatooine, hutt_fighter_s01_tier1_tatooine, hutt_fighter_s01_tier1, hutt_fighter_s01_tier1, hutt_fighter_s01_tier1, hutt_bomber_s01_tier1, hutt_bomber_s01_tier1, hutt_bomber_s01_tier1_tatooine
-2010	1613	-2227	freighterlight_tier1
-3665	619	2971	imp_tie_advanced_tier1, imp_tie_aggressor_tier1, imp_tie_bomber_tier1, imp_tie_bomber_tier1_tatooine, imp_tie_fighter_tier1, imp_tie_fighter_tier1_tatooine, imp_tie_interceptor_tier1, imp_tie_oppressor_tier1
1099	768	-2978	blacksun_bomber_s01_tier1, blacksun_fighter_s01_tier1, blacksun_fighter_s02_tier1, blacksun_aggressor_tier1, blacksun_ace_s04_tier1, blacksun_dark_eclipse_tier1, blacksun_dune_lizard_tier1, blacksun_heavy_fighter_tier1, blacksun_marauder_tier1, blacksun_vehement_tier1
-2203	-2390	519	imp_tie_bomber_tier1, imp_tie_fighter_tier1, imp_tie_fighter_tier1, imp_tie_fighter_tier1, imp_tie_fighter_tier1
2816	337	-1909	blacksun_bomber_s01_tier1, blacksun_bomber_s01_tier2, blacksun_bomber_s01_tier2_tatooine, blacksun_fighter_s01_tier1, blacksun_fighter_s01_tier2, blacksun_fighter_s01_tier2_tatooine, blacksun_aggressor_tier1, blacksun_dark_eclipse_tier1, blacksun_heavy_fighter_tier1, blacksun_marauder_tier1, blacksun_vehement_tier1
897	1269	-2851	bestine_pirate_tier1
-6389	4912	-1056	imp_tie_bomber_tier1, imp_tie_bomber_tier1_tatooine, imp_tie_fighter_tier1, imp_tie_fighter_tier1_tatooine, imp_tie_aggressor_tier1, imp_tie_advanced_tier1, imp_tie_interceptor_tier1, imp_tie_oppressor_tier1
-982	-105	-1281	imp_tie_bomber_tier1, imp_tie_bomber_tier1_tatooine, imp_tie_fighter_tier1, imp_tie_fighter_tier1_tatooine, imp_tie_advanced_tier1, imp_tie_aggressor_tier1, imp_tie_interceptor_tier1
231	1165	-2276	marcus_the_mad
1948	-367	2317	imp_tie_fighter_tier1, imp_tie_fighter_tier1_tatooine, imp_tie_bomber_tier1, imp_tie_advanced_tier1, imp_tie_aggressor_tier1, imp_tie_interceptor_tier1, imp_tie_oppressor_tier1
-3194	-425	-1769	imp_tie_bomber_tier1, imp_tie_bomber_tier1_tatooine, imp_tie_fighter_tier1, imp_tie_fighter_tier1_tatooine, imp_tie_aggressor_tier1, imp_tie_advanced_tier1, imp_tie_interceptor_tier1, imp_tie_oppressor_tier1
-2161	-1000	-5307	blacksun_bomber_s01_tier1, blacksun_bomber_s01_tier2, blacksun_bomber_s01_tier2, blacksun_bomber_s01_tier2_tatooine, blacksun_bomber_s01_tier2_tatooine, blacksun_fighter_s01_tier1, blacksun_fighter_s01_tier2, blacksun_fighter_s01_tier2_tatooine, blacksun_fighter_s01_tier2_tatooine, blacksun_fighter_s01_tier2_tatooine, blacksun_starkiller_leader, blacksun_aggressor_tier1, blacksun_dark_eclipse_tier1, blacksun_dune_lizard_tier1, blacksun_heavy_fighter_tier1, blacksun_marauder_tier1, blacksun_medium_fighter_tier2, blacksun_vehement_tier1
-2024	1619	-2219	blacksun_fighter_s01_tier1, blacksun_fighter_s03_tier1, blacksun_aggressor_tier1, blacksun_ace_s04_tier1, blacksun_bomber_s01_tier1, blacksun_dark_eclipse_tier1, blacksun_dune_lizard_tier1, blacksun_heavy_fighter_tier1, blacksun_vehement_tier1
-3462	776	-1259	bestine_pirate_tier1
-1033	2231	-424	bestine_pirate_tier1
2235	1017	-388	bestine_pirate_tier1
2525	933	851	bestine_pirate_tier1
-1599	-3077	3432	bestine_pirate_tier1
