sat_name	logical_saddle_name	comment
s	s	c
appearance/bantha_hue.sat	lookup/mnt_saddle_body2_wide_s01	Bantha                      
appearance/mouf.sat	lookup/mnt_saddle_body1_wide_s01	Bear                         
appearance/bageraset_hue.sat	lookup/mnt_saddle_body1_medium_s01	Camel                       
appearance/brackaset_hue.sat	lookup/mnt_saddle_body1_medium_s01	/
appearance/eopie_hue.sat	lookup/mnt_saddle_body1_medium_s01	/
appearance/falumpaset_hue.sat	lookup/mnt_saddle_body1_medium_s01	/
appearance/gurnaset_hue.sat	lookup/mnt_saddle_body1_medium_s01	/
appearance/bol_hue.sat	lookup/mnt_saddle_body1_wide_s01	Dewback                  
appearance/bolma_hue.sat	lookup/mnt_saddle_body1_wide_s01	/
appearance/dewback_hue.sat	lookup/mnt_saddle_body1_wide_s01	/
appearance/dewback_armor.sat	lookup/mnt_saddle_body1_wide_s02	TCG Armored Dewback
appearance/guf_drolg_hue.sat	lookup/mnt_saddle_body1_wide_s01	/
appearance/mutated_dewback.sat	lookup/mnt_saddle_body1_wide_s01	/
appearance/gronda_hue.sat	lookup/mnt_saddle_body2_wide_s01	Elephant                  
appearance/thune_hue.sat	lookup/mnt_saddle_body1_wide_s01	/
appearance/snorbal_hue.sat	lookup/mnt_saddle_body1_wide_s01	/
appearance/fambaa_hue.sat	lookup/mnt_saddle_body3_wide_s01	Fambaa                   
appearance/huf_dun_hue.sat	lookup/mnt_saddle_body3_wide_s01	/
appearance/malkloc_hue.sat	lookup/mnt_saddle_body3_wide_s01	/
appearance/torton_hue.sat	lookup/mnt_saddle_body3_wide_s01	/
appearance/bolle_bol_hue.sat	lookup/mnt_saddle_body1_wide_s01	Giraffe                      
appearance/picket_hue.sat	lookup/mnt_saddle_body1_wide_s01	/
appearance/ronto_hue.sat	lookup/mnt_saddle_body1_wide_s01	/
appearance/sharnaff_hue.sat	x	SHOULD NOT HAVE RIDERS
appearance/condor_dragon_hue.sat	lookup/mnt_saddle_body1_narrow_s01	Griffon                      
appearance/gulginaw_hue.sat	lookup/mnt_saddle_body1_narrow_s01	/
appearance/kai_tok_hue.sat	lookup/mnt_saddle_body1_narrow_s01	/
appearance/perlek_hue.sat	lookup/mnt_saddle_body1_narrow_s01	/
appearance/bordok_hue.sat	lookup/mnt_saddle_body2_medium_s01	Horse                      
appearance/gualama_hue.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/krahbu_hue.sat	lookup/mnt_saddle_body1_narrow_s01	/
appearance/nerf_hue.sat	lookup/mnt_saddle_body1_narrow_s01	/
appearance/tybis_hue.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/dalyrake_hue.sat	x	Mantis                      
appearance/kliknik_hue.sat	lookup/mnt_saddle_body2_narrow_s01	/
appearance/merek_hue.sat	lookup/mnt_saddle_body2_narrow_s01	/
appearance/carrion_spat_hue.sat	lookup/mnt_saddle_body2_medium_s01	Kaadu                       
appearance/kaadu_hue.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/mutated_borgax.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/mawgax_hue.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/pugoriss_hue.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/graul_hue.sat	lookup/mnt_saddle_body3_wide_s01	Rancor                       
appearance/rancor_hue.sat	lookup/mnt_saddle_body3_wide_s01	/
appearance/mutated_rancor.sat	lookup/mnt_saddle_body3_wide_s01	/
appearance/angler_hue.sat	lookup/mnt_saddle_body1_medium_s01	Spider                        
appearance/gaping_spider_hue.sat	x	SHOULD NOT HAVE RIDERS (or Custom saddle?)
appearance/hermit_spider_hue.sat	lookup/mnt_saddle_body3_narrow_s01	/
appearance/shear_mite_hue.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/blurrg_hue.sat	lookup/mnt_saddle_body2_medium_s01	Tauntaun                    
appearance/cu_pa_hue.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/kwi_hue.sat	lookup/mnt_saddle_body2_narrow_s01	/
appearance/tauntaun_hue.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/mutated_cupa.sat	lookup/mnt_saddle_body2_medium_s01	/
appearance/pv_landspeeder_luke.sat	lookup/landspeeder_luke	
appearance/pv_speeder_bike.sat	lookup/speeder_bike	
appearance/pv_swoop_bike.sat	lookup/swoop_bike	
appearance/pv_landspeeder_av21.sat	lookup/landspeeder_av21	
appearance/pv_jetpack_mandalorian.sat	lookup/jetpack_mandalorian	
appearance/pv_flash_speeder.sat	lookup/flash_speeder	
appearance/pv_speeder_sorob_lars.sat	lookup/speeder_sorob_lars	
appearance/pv_speeder_xp_38.sat	lookup/speeder_xp_38	
appearance/pv_speeder_ab1.sat	lookup/speeder_ab1	
appearance/bolotaur.sat	lookup/mnt_saddle_body1_wide_s01	Varactyl
appearance/varactyl.sat	lookup/mnt_saddle_body1_wide_s01	/
appearance/varactyl_armor.sat	lookup/mnt_saddle_varactyl_armor	TCG Armored Varactyl
appearance/gualar.sat	lookup/mnt_saddle_body1_narrow_s01	TCG Gualaar
appearance/pv_clone_barc_speeder.sat	lookup/clone_barc_speeder	
appearance/kashyyyk_bantha.sat	lookup/mnt_saddle_body2_wide_s01	
appearance/pv_speeder_usv5.sat	lookup/speeder_usv5	
appearance/pv_speeder_desert_skiff.sat	lookup/speeder_desert_skiff	
appearance/pv_speeder_tantive4.sat	lookup/speeder_tantive4	
appearance/tulrus.sat	lookup/mnt_saddle_body3_wide_s01	Reek
appearance/lava_flea.sat	lookup/mnt_saddle_body2_wide_s01	lava_flea
appearance/pv_lava_skiff.sat	lookup/speeder_lava_skiff	
appearance/pv_clone_barc_speeder_rebel.sat	lookup/clone_barc_speeder_rebel	
appearance/pv_clone_barc_speeder_imperial.sat	lookup/clone_barc_speeder_imperial	
appearance/pv_walker_at_rt_reg.sat	lookup/walker_at_rt_reg	
appearance/pv_walker_at_rt_camo.sat	lookup/walker_at_rt_camo	
appearance/light_bending_barc_speeder.sat	lookup/barc_speeder_light_bend	
appearance/gasgano_pod_racer.sat	lookup/pod_racer_one	
appearance/mawhonical_pod_racer.sat	lookup/pod_racer_two	
appearance/pv_yodas_levitator.sat	lookup/hover_chair	
appearance/pv_sith_speeder.sat	lookup/sith_speeder	
appearance/pv_bail_organa_speeder.sat	lookup/bail_organa_speeder	
appearance/pv_mechno_chair.sat	lookup/mechno_chair	
appearance/pv_snowspeeder.sat	lookup/snowspeeder	
appearance/pv_at_st.sat	lookup/hoth_at_st	
appearance/pv_stap_speeder.sat	lookup/stap_speeder	
appearance/ipg_podracer.sat	lookup/ipg_podracer	
appearance/pv_zam_speeder.sat	lookup/koro2_speeder	
appearance/pv_swamp_speeder.sat	lookup/swamp_speeder	
appearance/armor_bantha.sat	lookup/mnt_saddle_body2_wide_s02	Armored Bantha                      
appearance/pv_mandalorian_jetpack.sat	lookup/mandalorian_jetpack	
appearance/pv_geonosian_speeder.sat	lookup/geonosian_speeder	Geonosian Speeder
appearance/pv_senate_pod.sat	lookup/senate_pod	Senate Pod Vehicle
appearance/peko_peko_saddle_hue.sat	lookup/mnt_saddle_bird_s01	Bird saddles
appearance/pv_at_xt.sat	lookup/walker_at_xt	
appearance/pv_speeder_tantive_x.sat	lookup/speeder_tantive4_adv	
appearance/balta_podracer.sat	lookup/balta_podracer	
appearance/peko_peko_saddle_tcg.sat	lookup/tcg_peko_peko_mount	Bird saddles
appearance/pv_ma3_mark_2_vehicle.sat	lookup/panning_droid	Mark2 mining droid
appearance/pv_xj6_air_speeder.sat	lookup/xj6_air_speeder	
appearance/pv_fg_8t8_podracer.sat	lookup/fg_8t8_podracer	
appearance/pv_air2_swoop_speeder.sat	lookup/air2_swoop_speeder	
appearance/basilisk_war_droid.sat	lookup/basilisk_war_droid	basilisk
appearance/lb_gasgano_pod_racer.sat	lookup/lb_pod_racer_one	
appearance/pv_speeder_usv5_s02.sat	lookup/speeder_usv5_s02	
appearance/anakin_podracer.sat	lookup/podracer_anakin	
appearance/pv_flare_s_swoop.sat	lookup/flare_s_swoop	
appearance/pv_hoverlifter_speeder.sat	lookup/hoverlifter_speeder	
appearance/grievous_wheel_bike.sat	lookup/grievous_wheel_bike
appearance/pv_a1_deluxe_floater.sat	lookup/a1_deluxe_floater
appearance/ric_920_speeder.sat	lookup/speeder_ric_920
appearance/pv_jetpack_hk47_tcg.sat	lookup/hk47_jetpack
appearance/atpt.sat	lookup/tcg_at_pt_walker
appearance/pv_enclosed_military_vehicle.sat	lookup/tcg_military_transport
appearance/pv_republic_gunship.sat	lookup/tcg_republic_gunship
