offering	reactionType	reaction	reactionType_2	reaction_2	reactionType_3	reaction_3
s	"e(emote=0,chat=1,give=2,special=3)[emote]"	s	"e(emote=0,chat=1,give=2,special=3)[emote]"	s	"e(emote=0,chat=1,give=2,special=3)[emote]"	s
bow	emote	bow				
item_meatlump_lump_01_01	emote	celebrate	chat	mtp_king_lump	give	meatlump_hench_doll_arm_r_02_01:meatlump_newspaper_02_09
item_meatlump_lump_unfinished_01_01	emote	applause_polite	chat	mtp_king_lump_unfinished	give	item_meatlump_lump_01_01
flirt	emote	2hot4u	chat	mtp_king_flirt		
flutter	emote	refuse_offer_affection	chat	mtp_king_flutter		
giggle	emote	shake_head_disgust	chat	mtp_king_giggle		
grin	emote	pose_proudly	chat	mtp_king_grin		
hero	emote	strut	chat	mtp_king_hero		
hi5	emote	dismiss	chat	mtp_king_hi5		
applaud	emote	applause_excited	chat	mtp_king_applaud		
blowkiss	emote	refuse_offer_affection	chat	mtp_king_blowkiss		
bouquet	emote	yawn	chat	mtp_king_bouquet		
cheek	emote	embarrassed	chat	mtp_king_cheek		
cheer	emote	celebrate	chat	mtp_king_cheer		
clap	emote	clap_rousing	chat	mtp_king_clap
comfort	emote	hug_self	chat	mtp_king_comfort
dance	emote	applause_polite	chat	mtp_king_dance
embrace	emote	scared	chat	mtp_king_embrace
encourage	emote	hug_self	chat	mtp_king_encourage
kiss	emote	refuse_offer_affection	chat	mtp_king_kiss
hug	emote	scream	chat	mtp_king_hug
lick	emote	cuckoo	chat	mtp_king_lick
luck	emote	udaman	chat	mtp_king_luck
smile	emote	pose_proudly	chat	mtp_king_smile
snog	emote	refuse_offer_affection	chat	mtp_king_snog
tickle	emote	laugh	chat	mtp_king_tickle
