requiredEmote	hintString
s	s
flirt	mtp_angryquest_flirt
flutter	mtp_angryquest_flirt
giggle	mtp_angryquest_flirt
grin	mtp_angryquest_smile
hero	mtp_angryquest_special
hi5	mtp_angryquest_cheer
applaud	mtp_angryquest_applause
blowkiss	mtp_angryquest_affection
bouquet	mtp_angryquest_special
cheek	mtp_angryquest_affection
cheer	mtp_angryquest_cheer
clap	mtp_angryquest_applause
comfort	mtp_angryquest_comfort
dance	mtp_angryquest_dance
embrace	mtp_angryquest_hug
encourage	mtp_angryquest_encourage
kiss	mtp_angryquest_affection
hug	mtp_angryquest_hug
lick	mtp_angryquest_silly
luck	mtp_angryquest_encourage
smile	mtp_angryquest_smile
snog	mtp_angryquest_affection
tickle	mtp_angryquest_silly
