name	template
s	s
player_advanced_xwing	object/tangible/tcg/series5/hangar_ships/xwing.iff
player_advanced_z95	object/tangible/tcg/series5/hangar_ships/z95.iff
player_arc170	object/tangible/tcg/series5/hangar_ships/arc170.iff
player_awing	object/tangible/tcg/series5/hangar_ships/awing.iff
player_basic_hutt_light	object/tangible/tcg/series5/hangar_ships/hutt_fighter_light_01.iff
player_basic_tiefighter	object/tangible/tcg/series5/hangar_ships/tie_fighter.iff
player_basic_z95	object/tangible/tcg/series5/hangar_ships/z95.iff
player_blacksun_heavy_s01	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_heavy_01.iff
player_blacksun_heavy_s02	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_heavy_01.iff
player_blacksun_heavy_s03	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_heavy_02.iff
player_blacksun_heavy_s04	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_heavy_02.iff
player_blacksun_light_s01	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_light_01.iff
player_blacksun_light_s02	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_light_01.iff
player_blacksun_light_s03	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_light_02.iff
player_blacksun_light_s04	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_light_02.iff
player_blacksun_medium_s01	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_medium_01.iff
player_blacksun_medium_s02	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_medium_01.iff
player_blacksun_medium_s03	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_medium_02.iff
player_blacksun_medium_s04	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_medium_02.iff
player_blacksun_vaksai	object/tangible/tcg/series5/hangar_ships/black_sun_fighter_light_01.iff
player_bwing	object/tangible/tcg/series5/hangar_ships/bwing.iff
player_decimator	object/tangible/tcg/series5/hangar_ships/vt49_decimator.iff
player_firespray	object/tangible/tcg/series5/hangar_ships/kse_firespray.iff
player_grievous_starship	object/tangible/tcg/series5/hangar_ships/grievous_starship.iff
player_gunship_imperial	object/tangible/tcg/series5/hangar_ships/imperial_gunboat.iff
player_gunship_neutral	object/tangible/tcg/series5/hangar_ships/black_sun_transport.iff
player_gunship_rebel	object/tangible/tcg/series5/hangar_ships/rebel_gunboat.iff
player_hutt_heavy_s01	object/tangible/tcg/series5/hangar_ships/hutt_fighter_heavy_01.iff
player_hutt_heavy_s02	object/tangible/tcg/series5/hangar_ships/hutt_fighter_heavy_02.iff
player_hutt_light_s01	object/tangible/tcg/series5/hangar_ships/hutt_fighter_light_01.iff
player_hutt_light_s02	object/tangible/tcg/series5/hangar_ships/hutt_fighter_light_02.iff
player_hutt_medium_s01	object/tangible/tcg/series5/hangar_ships/hutt_fighter_medium_01.iff
player_hutt_medium_s02	object/tangible/tcg/series5/hangar_ships/hutt_fighter_medium_02.iff
player_hutt_turret_ship	object/tangible/tcg/series5/hangar_ships/hutt_fighter_heavy_03.iff
player_jedi_starfighter	object/tangible/tcg/series5/hangar_ships/jedi_fighter.iff
player_naboo_n1	object/tangible/tcg/series5/hangar_ships/naboo_n1.iff
player_prototype_hutt_light	object/tangible/tcg/series5/hangar_ships/hutt_fighter_light_01.iff
player_prototype_tiefighter	object/tangible/tcg/series5/hangar_ships/tie_fighter.iff
player_prototype_z95	object/tangible/tcg/series5/hangar_ships/z95.iff
player_sorosuub_space_yacht	object/tangible/tcg/series5/hangar_ships/sorosuub.iff
player_tie_in	object/tangible/tcg/series5/hangar_ships/tie_fighter_in.iff
player_tie_light_duty	object/tangible/tcg/series5/hangar_ships/tie_fighter.iff
player_tieadvanced	object/tangible/tcg/series5/hangar_ships/tie_advanced.iff
player_tieadvanced_modified	object/tangible/tcg/series5/hangar_ships/tie_advanced.iff
player_tieaggressor	object/tangible/tcg/series5/hangar_ships/tie_aggressor.iff
player_tiebomber	object/tangible/tcg/series5/hangar_ships/tie_bomber.iff
player_tiefighter	object/tangible/tcg/series5/hangar_ships/tie_fighter.iff
player_tiefighter_modified	object/tangible/tcg/series5/hangar_ships/tie_fighter_modified.iff
player_tieinterceptor	object/tangible/tcg/series5/hangar_ships/tie_interceptor.iff
player_tieinterceptor_imperial_guard	object/tangible/tcg/series5/hangar_ships/tie_interceptor_imperial_guard.iff
player_tieoppressor	object/tangible/tcg/series5/hangar_ships/tie_oppressor.iff
player_vwing	object/tangible/tcg/series5/hangar_ships/vwing.iff
player_xwing	object/tangible/tcg/series5/hangar_ships/xwing.iff
player_y8_mining_ship	object/tangible/tcg/series5/hangar_ships/y8.iff
player_ykl37r	object/tangible/tcg/series5/hangar_ships/ykl37r.iff
player_yt1300	object/tangible/tcg/series5/hangar_ships/yt1300.iff
player_yt2400	object/tangible/tcg/series5/hangar_ships/yt2400.iff
player_ywing	object/tangible/tcg/series5/hangar_ships/ywing.iff
player_ywing_longprobe	object/tangible/tcg/series5/hangar_ships/ywing.iff
player_z95	object/tangible/tcg/series5/hangar_ships/z95.iff
