mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
kaadu_female		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
kaadu_female						
kaadu_female						
kaadu_female						
kaadu_female						
kaadu_female						
kaadu_female						
kaadu_female						
kaadu_male						
kaadu_male						
kaadu_male						
kaadu_male						
kaadu_male						
kaadu_male						
