mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
nightspider		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
nightspider						
nightspider						
nightspider						
nightspider						
nightspider						
nightspider						
nightspider						
nightspider						
nightspider						
nightspider						
nightspider						
nightspider						
nightspider						
nightspider
nightspider
