mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
chuba		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
flesh_eating_chuba						
flesh_eating_chuba						
flesh_eating_chuba						
chuba						
chuba						
chuba						
chuba						
chuba						
chuba						
chuba						
chuba						
chuba						
chuba						
chuba
