mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
corsec_chief	1	This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/corellia_corsec_large2.iff	object/building/poi/corellia_corsec_large2.iff	object/building/poi/corellia_corsec_large2.iff	object/building/poi/corellia_corsec_large2.iff	object/building/poi/corellia_corsec_large2.iff
corsec_major	1	You will need to update the structure spawn list with appropriate theatres as they come online		object/building/poi/corellia_corsec_large1.iff	object/building/poi/corellia_corsec_large1.iff	object/building/poi/corellia_corsec_large1.iff	object/building/poi/corellia_corsec_large1.iff	object/building/poi/corellia_corsec_large1.iff
corsec_captain	1			object/building/poi/corellia_corsec_large3.iff	object/building/poi/corellia_corsec_large3.iff	object/building/poi/corellia_corsec_large3.iff	object/building/poi/corellia_corsec_large3.iff	object/building/poi/corellia_corsec_large3.iff
corsec_lieutenant	1							
corsec_master_sergeant	1							
corsec_sergeant	3							
corsec_inspector_sergeant	2							
corsec_agent	2							
corsec_trooper	6							
