mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
flewt		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
flewt						
flewt						
flewt						
flewt						
flewt						
flewt						
flewt						
flewt						
flewt						
flewt						
flewt						
flewt						
flewt						
flewt
flewt
flewt
flewt
flewt
flewt
flewt
flewt
flewt
