mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
gungan_kaadu		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
gungan_kaadu						
gungan_kaadu						
gungan_kaadu						
gungan_kaadu						
gungan_kaadu						
gungan_kaadu						
gungan_kaadu						
kaadu_female						
kaadu_female						
kaadu_female						
kaadu_female						
