mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
fanned_rawl		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl						
fanned_rawl
fanned_rawl
fanned_rawl
fanned_rawl
fanned_rawl
