mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
criminal		Leave the spawnLimit blank if there's no limit to the number of this type of creature which can be spawned	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff
thug				object/static/poi/scene/escape_pod.iff	object/static/poi/scene/escape_pod.iff			
gorg	2							
worrt	2							
dwarf_eopie	3							
bocatt	4							
roughneck	2							
scoundrel	2							
rogue	1							
bandit	1							
thief	1							
pirate	1							
crimelord	1							
