mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
alkhara_bandit		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff
alkhara_bandit_king		You will need to update the structure spawn list with appropriate theatres as they come online		object/static/poi/scene/escape_pod.iff	object/static/poi/scene/escape_pod.iff			
alkhara_champion								
alkhara_lieutenant								
le_repair_droid								
ronto								
alkhara_bandit								
alkhara_bandit								
alkhara_bandit								
alkhara_bandit								
alkhara_bandit								
elite_alkhara_champion	1							
