mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
mission_trade_federation_avenger		Leave the spawnLimit blank if there's no limit to the number of this type of creature which can be spawned	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/static/structure/naboo/gungan_relic_s02.iff	object/static/structure/naboo/gungan_relic_s02.iff	object/static/structure/naboo/gungan_relic_s02.iff	object/static/structure/naboo/gungan_relic_s02.iff	object/static/structure/naboo/gungan_relic_s02.iff
mission_trade_federation_loyalist								
mission_trade_federation_zealot	1							
mission_trade_federation_loyalist								
mission_trade_federation_loyalist								
mission_trade_federation_loyalist								
mission_trade_federation_loyalist								
mission_trade_federation_avenger								
mission_trade_federation_avenger								
mission_trade_federation_avenger								
mission_trade_federation_avenger								
mission_trade_federation_avenger								
mission_trade_federation_avenger								
