mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
spineflap_gatherer		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
spineflap_guard						
spineflap_handmaiden						
spineflap_queen	1					
spineflap_soldier						
spineflap_soldier						
spineflap_soldier						
spineflap_soldier						
spineflap_soldier						
spineflap_handmaiden						
spineflap_handmaiden						
spineflap_handmaiden						
spineflap_guard						
spineflap_guard						
spineflap_guard
spineflap_guard
