mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
veermok		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
veermok						
veermok						
veermok						
veermok_cannibal						
veermok_cannibal						
veermok_guard						
veermok_hunter						
veermok_scout						
veermok_sentry						
veermok_sentry						
veermok_sentry						
