mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
rogue_falumpaset	1	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
domestic_falumpaset						
domestic_falumpaset						
gungan_falumpaset						
falumpaset						
falumpaset						
falumpaset						
falumpaset						
falumpaset						
falumpaset						
falumpaset						
falumpaset						
falumpaset						
falumpaset						
falumpaset
falumpaset
falumpaset
