mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
bomarr_monk		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/static/poi/scene/camp_jawa_sm.iff	object/building/poi/village/tatooine_village_small.iff	object/building/poi/village/tatooine_village_small.iff	object/building/poi/village/tatooine_village_small.iff	object/building/poi/village/tatooine_village_medium.iff
bomarr_monk_abbot		You will need to update the structure spawn list with appropriate theatres as they come online		object/static/poi/scene/escape_pod.iff	object/static/poi/scene/escape_pod.iff	object/static/poi/scene/escape_pod.iff	object/building/poi/village/tatooine_village_small.iff	object/building/poi/village/tatooine_village_small.iff
bomarr_monk_bodyguard								
bomarr_monk_healer								
bomarr_monk_initiate								
bomarr_monk								
bomarr_monk								
bomarr_monk								
bomarr_monk								
bomarr_monk								
bomarr_monk_initiate								
bomarr_monk_initiate								
bomarr_monk_initiate								
bomarr_monk_initiate								
bomarr_monk_initiate
bomarr_monk_initiate
bomarr_monk_initiate
bomarr_monk_initiate
bomarr_monk_bodyguard
bomarr_monk_bodyguard
bomarr_monk_bodyguard
bomarr_monk_bodyguard
bomarr_monk_bodyguard
