mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
compforce_trooper		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_large.iff
compforce_trooper		You will need to update the structure spawn list with appropriate theatres as they come online			object/building/poi/hq/imperial_base_large.iff	object/building/poi/hq/imperial_base_large.iff	object/building/poi/hq/imperial_base_large.iff	
compforce_trooper								
compforce_trooper								
compforce_trooper								
compforce_trooper								
compforce_trooper								
imperial_army_captain								
mission_imperial_trooper								
mission_imperial_warrant_officer_ii								
mission_imperial_warrant_officer_ii								
mission_imperial_sergeant								
imperial_sergeant_major								
imperial_sharpshooter								
mission_imperial_staff_corporal
mission_imperial_staff_sergeant
veteran_compforce_trooper
veteran_compforce_trooper
veteran_compforce_trooper
veteran_compforce_trooper
