mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
alliance_intelligence_case_officer		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/hq/rebel_base_small.iff	object/building/poi/hq/rebel_base_small.iff	object/building/poi/hq/rebel_base_small.iff	object/building/poi/hq/rebel_base_small.iff	object/building/poi/hq/rebel_base_large.iff
bothan_information_broker		You will need to update the structure spawn list with appropriate theatres as they come online			object/building/poi/hq/rebel_base_large.iff	object/building/poi/hq/rebel_base_large.iff	object/building/poi/hq/rebel_base_large.iff	
comm_operator								
network_leader								
network_leader								
network_leader								
mission_artisan								
mission_brawler								
mission_businessman								
mission_commoner								
mission_entertainer								
explorer								
mission_farmer								
mission_fringer								
mission_fugitive
mission_gambler
mission_hunter
info_broker
mission_medic
mission_mercenary
mission_miner
moisture_farmer
mission_pilot
