mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
shaupaut		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
rabid_shaupaut						
greater_shaupaut						
greater_shaupaut						
greater_shaupaut						
shaupaut						
shaupaut						
shaupaut						
shaupaut						
rabid_shaupaut						
rabid_shaupaut						
greater_shaupaut						
greater_shaupaut						
greater_shaupaut						
