mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[_1]	c	c	s	s	s	s	s
veteran_assault_trooper	4			object/building/military/military_outpost_guard_tower_1.iff	object/building/military/military_outpost_guard_tower_1.iff	object/building/military/military_outpost_guard_house_imperial.iff	object/building/military/military_base_shed_imperial_style_01.iff	object/building/military/military_base_police_station_imperial_style_01.iff
veteran_dark_trooper	4							
veteran_imperial_army_captain	2							
veteran_imperial_colonel	2							
veteran_imperial_high_general	1							
veteran_imperial_lieutenant_colonel	2							
veteran_imperial_lieutenant_general	1							
veteran_imperial_major	2							
veteran_imperial_major_general	1							
veteran_imperial_surface_marshal	1							
veteran_sand_trooper	2							
veteran_storm_commando	3							
veteran_stormtrooper	4							
veteran_stormtrooper_bombardier	2							
veteran_stormtrooper_medic	2							
veteran_stormtrooper_rifleman	2							
veteran_stormtrooper_sniper	2							
veteran_stormtrooper_squad_leader	2							
veteran_stormtrooper_major	1							
