mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
gualama		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
gualama_patriarch	1					
maverick_gualama						
bachelor_gualama						
dappled_gualama						
gualama						
gualama						
gualama						
gualama						
gualama						
gualama						
gualama						
bachelor_gualama						
bachelor_gualama						
dappled_gualama
dappled_gualama
maverick_gualama
maverick_gualama
maverick_gualama
maverick_gualama
