mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
dim_u_abbot		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/static/poi/scene/camp_jawa_sm.iff	object/static/poi/scene/camp_jawa_sm.iff	object/static/poi/scene/camp_jawa_med.iff	object/static/poi/scene/camp_jawa_lrg.iff	object/static/poi/scene/camp_jawa_grand.iff
dim_u_cleric		You will need to update the structure spawn list with appropriate theatres as they come online		object/static/poi/scene/escape_pod.iff		object/building/poi/village/tatooine_village_medium.iff	object/building/poi/village/tatooine_village_medium.iff	object/building/poi/village/tatooine_village_medium.iff
dim_u_monastery_nun								
dim_u_monk								
dim_u_preacher								
dim_u_priestess								
dim_u_monk								
dim_u_monk								
dim_u_monk								
dim_u_monk								
dim_u_monk								
dim_u_priestess								
dim_u_priestess								
dim_u_priestess								
dim_u_priestess
