mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
jabba_assassin		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff	object/building/poi/hq/pirate_base_small.iff
jabba_enforcer		You will need to update the structure spawn list with appropriate theatres as they come online		object/static/poi/scene/escape_pod.iff	object/static/poi/scene/escape_pod.iff			
jabba_henchman								
jabba_scout								
jabba_thief								
jabba_thug								
jabba_thug								
jabba_thug								
jabba_thug								
jabba_thug								
jabba_thug								
jabba_henchman								
jabba_henchman								
jabba_henchman								
jabba_henchman
