mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
gungan_captain		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/static/structure/naboo/gungan_relic_s01.iff	object/static/structure/naboo/gungan_relic_s01.iff	object/static/structure/naboo/gungan_relic_s01.iff	object/static/structure/naboo/gungan_relic_s01.iff	object/static/structure/naboo/gungan_relic_s01.iff
gungan_boss		You will need to update the structure spawn list with appropriate theatres as they come online						
gungan_captain								
gungan_falumpaset								
gungan_guard								
gungan_guard								
gungan_guard								
gungan_guard								
gungan_guard								
gungan_guard								
gungan_kaadu								
gungan_kaadu								
gungan_mercenary								
gungan_mercenary								
gungan_priest	
gungan_scout	
gungan_scout	
mission_gungan_war_chief	1
mission_gungan_general	1
