mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
carnivorous_nuna	1	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
diseased_nuna						
dwarf_nuna						
nuna						
nuna						
nuna						
nuna						
nuna						
nuna						
nuna						
nuna						
dwarf_nuna						
dwarf_nuna						
dwarf_nuna						
carnivorous_nuna
carnivorous_nuna
carnivorous_nuna
carnivorous_nuna
diseased_nuna
diseased_nuna
diseased_nuna
diseased_nuna
diseased_nuna
