mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
jawa_warlord	1	Leave the spawnLimit blank if there's no limit to the number of this type of creature which can be spawned	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/static/poi/scene/camp_jawa_sm.iff	object/static/poi/scene/camp_jawa_sm.iff	object/static/poi/scene/camp_jawa_med.iff	object/static/poi/scene/camp_jawa_lrg.iff	object/static/poi/scene/camp_jawa_grand.iff
jawa_leader	2			object/static/poi/scene/escape_pod.iff	object/static/poi/scene/escape_pod.iff	object/static/poi/scene/escape_pod.iff		
jawa_smuggler								
jawa_henchman								
jawa								
jawa_engineer	1							
jawa_healer	1							
jawa_thief	2							

								
								
								
								
								

	
