mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
baz_nitch		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/tangible/lair/base/bramble_dark.iff	object/tangible/lair/base/bramble_dark.iff	object/tangible/lair/base/bramble_dark.iff	object/tangible/lair/base/bramble_dark.iff	object/tangible/lair/base/bramble_dark.iff
angry_baz_nitch_avenger		You will need to update the structure spawn list with appropriate theatres as they come online						
baz_nitch								
baz_nitch								
angry_baz_nitch_avenger								
baz_nitch								
angry_baz_nitch_avenger								
baz_nitch								
young_baz_nitch								
