mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
nym_patrol_elite	2	This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/lok_nymshenchman_large.iff	object/building/poi/lok_nymshenchman_large2.iff	object/building/poi/lok_nymshenchman_large3.iff	object/building/poi/lok_nymshenchman_large4.iff	object/building/poi/lok_nymshenchman_large3.iff
nym_destroyer	1	You will need to update the structure spawn list with appropriate theatres as they come online					object/building/poi/lok_nymshenchman_large5.iff	object/building/poi/lok_nymshenchman_large5.iff
nym_patrol_strong	2							
nym_droideka_weak	1							
nym_kusak_guardian	1							
imperial_deserter	1							
nym_brawler	1							
nym_domesticated_gurk	1							
nym_surveyer	1							
