mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
dark_adept		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_large.iff
dark_jedi_knight		You will need to update the structure spawn list with appropriate theatres as they come online			object/building/poi/hq/imperial_base_large.iff	object/building/poi/hq/imperial_base_large.iff	object/building/poi/hq/imperial_base_large.iff	
dark_jedi_master								
thug								
ig_assassin_droid								
slave								
slave								
slave								
slave								
slave								
thug								
thug								
thug								
thug								
thug
thug
thug
thug
thug
thug
