mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
narmle_commander	1	This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/naboo_borvos_large2.iff	object/building/poi/naboo_borvos_large2.iff	object/building/poi/naboo_borvos_large2.iff	object/building/poi/naboo_borvos_large2.iff	object/building/poi/naboo_borvos_large2.iff
narmle_colonel	1	You will need to update the structure spawn list with appropriate theatres as they come online		object/building/poi/naboo_borvos_large1.iff	object/building/poi/naboo_borvos_large1.iff	object/building/poi/naboo_borvos_large1.iff	object/building/poi/naboo_borvos_large1.iff	object/building/poi/naboo_borvos_large1.iff
narmle_commando	3							
narmle_captain	2							
narmle_rifleman	4							
narmle_grenadier	2							
narmle_lieutenant	2							
narmle_guard	3							
narmle_ensign	1							
