mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
male_great_grass_plains_tusk_cat		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
male_great_grass_plains_tusk_cat						
male_great_grass_plains_tusk_cat						
male_great_grass_plains_tusk_cat						
male_great_grass_plains_tusk_cat						
male_great_grass_plains_tusk_cat						
male_great_grass_plains_tusk_cat						
female_great_grass_plains_tusk_cat						
female_great_grass_plains_tusk_cat						
female_great_grass_plains_tusk_cat						
female_great_grass_plains_tusk_cat						
female_great_grass_plains_tusk_cat						
female_great_grass_plains_tusk_cat						
