item	collectible_cols
s	s
object/tangible/dance_prop/generic_must_prop_baton_01_l.iff	trinket_collectible
object/tangible/dance_prop/generic_must_prop_baton_01_r.iff	trinket_collectible
object/tangible/dance_prop/generic_must_prop_baton_02_l.iff	trinket_collectible
object/tangible/dance_prop/generic_must_prop_baton_02_r.iff	trinket_collectible
object/tangible/dance_prop/generic_must_prop_baton_03_l.iff	trinket_collectible
object/tangible/dance_prop/generic_must_prop_baton_03_r.iff	trinket_collectible
object/tangible/dance_prop/generic_must_prop_baton_04_l.iff	trinket_collectible
object/tangible/dance_prop/generic_must_prop_baton_04_r.iff	trinket_collectible
object/tangible/dance_prop/generic_prop_ribbon_spark_r.iff	trinket_collectible
object/tangible/dance_prop/generic_prop_sparkler_l.iff	trinket_collectible
object/tangible/dance_prop/generic_prop_sparkler_r.iff	trinket_collectible
object/tangible/fishing/fish/fish_dathomir_burra.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_endor_buzzfish.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_endor_trout.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_naboo_fatfish.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_naboo_gooberfish.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_naboo_gumfish.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_naboo_mee.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_naboo_see.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_rare_blackfish.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_rare_blowfish.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_rare_bluefish.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_rare_faa.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_rare_laa.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_rare_ray.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_rare_striped.iff	aurebesh_collectible
object/tangible/fishing/fish/fish_yavin_crawlfish.iff	aurebesh_collectible
object/tangible/food/bottle/treasure_bonus_bottle_s01.iff	treasure_collectible
object/tangible/food/bottle/treasure_bonus_bottle_s02.iff	treasure_collectible
object/tangible/food/bottle/treasure_bonus_bottle_s03.iff	treasure_collectible
object/tangible/food/crafted/dessert_pikatta_pie.iff	aurebesh_collectible
object/tangible/food/foraged/edible_jar_berries_generic.iff	aurebesh_collectible
object/tangible/food/foraged/edible_jar_bugs_generic.iff	aurebesh_collectible
object/tangible/food/foraged/edible_jar_fungus_generic.iff	aurebesh_collectible
object/tangible/food/foraged/edible_jar_funk_generic.iff	aurebesh_collectible
object/tangible/food/foraged/edible_jar_livers_generic.iff	aurebesh_collectible
object/tangible/food/foraged/foraged_fruit_s1_generic.iff	aurebesh_collectible
object/tangible/food/foraged/foraged_fruit_s2_generic.iff	aurebesh_collectible
object/tangible/food/foraged/foraged_fruit_s3_generic.iff	aurebesh_collectible
object/tangible/food/foraged/foraged_fruit_s4_generic.iff	aurebesh_collectible
object/tangible/food/foraged/foraged_fruit_s5_generic.iff	aurebesh_collectible
object/tangible/food/foraged/foraged_vegetable_s2_generic.iff	aurebesh_collectible
object/tangible/food/foraged/foraged_vegetable_s3_generic.iff	aurebesh_collectible
object/tangible/food/foraged/foraged_vegetable_s4_generic.iff	aurebesh_collectible
object/tangible/food/foraged/foraged_vegetable_s5_generic.iff	aurebesh_collectible
object/tangible/food/generic/dish_ahrisa.iff	aurebesh_collectible
object/tangible/food/generic/mtp_meatlump_lump_food.iff	aurebesh_collectible
object/tangible/food/mtp_meatlump_xp_wine.iff	aurebesh_collectible
object/tangible/instrument/bandfill.iff	trinket_collectible
object/tangible/instrument/slitherhorn.iff	trinket_collectible
object/tangible/loot/creature_loot/generic/alien_brain.iff	dejarik_collectible
object/tangible/loot/creature_loot/generic/arm_bone_generic.iff	dejarik_collectible
object/tangible/loot/creature_loot/generic/big_tooth_generic.iff	dejarik_collectible
object/tangible/loot/creature_loot/generic/brain_s01.iff	dejarik_collectible
object/tangible/loot/creature_loot/generic/bug_jar.iff	dejarik_collectible
object/tangible/loot/creature_loot/generic/carnivore_tooth.iff	dejarik_collectible
object/tangible/loot/creature_loot/generic/generic_antennae.iff	dejarik_collectible
object/tangible/loot/creature_loot/generic/generic_brain.iff	dejarik_collectible
object/tangible/loot/creature_loot/generic/generic_eye.iff	dejarik_collectible
